x_km,target_y_km,surface_height_m,upper_ice_layer_depth_m,briny_warm_ice_lens_depth_m,briny_warm_ice_lens_strength_0to1,ice_ocean_boundary_depth_m,ice_ocean_boundary_elevation_m,upper_ice_layer_delay_us,briny_warm_ice_lens_delay_us,ice_ocean_boundary_delay_us,upper_ice_layer_echo_db,briny_warm_ice_lens_echo_db,ice_ocean_boundary_echo_db
-20.0,25.0,338.15830709982725,1032.3098306448724,4415.027591902696,0.8769605313729038,14891.436062206307,-14553.27775510648,12.258557208586435,52.42793074925721,176.83404290795886,-11.85815769516077,-24.05440488306872,-32.816090547637515
-19.5,25.0,363.814542334925,1028.3233861410174,4411.653510855628,0.8585217273803433,14910.194563445199,-14546.380021110273,12.211218651344529,52.387863935676585,177.0567978927105,-11.850982095053832,-24.214280773117043,-32.92910738672525
-19.0,25.0,371.186419883424,1023.8458104268632,4409.397880062132,0.8383720624520692,14932.184635308322,-14560.998215424897,12.15804796903741,52.361078586644055,177.3179273966179,-11.842922458768355,-24.391567622043215,-32.9628355398118
-18.5,25.0,365.6884368087795,1019.2115825935767,4408.237604274964,0.8166511327352994,14956.623219107312,-14590.934782298533,12.103017061333587,52.34730044882874,177.6081326903228,-11.834580848668438,-24.58496749307724,-32.941371415905245
-18.0,25.0,392.0220541536099,1016.3313604829788,4408.14657160396,0.7935067115016943,14977.225154246555,-14585.203100092946,12.068814764244017,52.34621944662163,177.8527782347271,-11.829396448869362,-24.79310342537188,-33.061148807164095
-17.5,25.0,397.07097057156574,1013.2052820771047,4409.096039971746,0.7690930817158687,15001.397890806353,-14604.326920234787,12.031692952710948,52.35749427125153,178.13982662389265,-11.823769507738788,-25.014535136506325,-33.098818236987384
-17.0,25.0,381.37310246850825,1009.9792320080988,4411.055033508008,0.7435693337234461,15029.035468184995,-14647.662365716487,11.993383989495932,52.380757087920166,178.46801958819984,-11.817962617614578,-25.2477750568034,-33.05602911385848
-16.5,25.0,387.1431058674635,1008.4630768777303,4413.9907426368945,0.7170976541555157,15054.195422736151,-14667.052316868687,11.97537982654894,52.41561828679274,178.7667910743128,-11.815233538379914,-25.49130444934677,-33.11175666032832
-16.0,25.0,413.2956148642764,1008.728927986176,4417.868921757957,0.6898416315292177,15076.99559977411,-14663.699984909834,11.97853677703522,52.46167120541214,179.0375404814081,-11.815712070375117,-25.74358937540136,-33.2165617217286
-15.5,25.0,405.1793484681727,1008.6978894988345,4422.654278682052,0.6619646029266818,15105.051448537502,-14699.87210006933,11.978168198667127,52.51849675320419,179.37070036896495,-11.815656201097902,-26.003096275287557,-33.19588566106989
-15.0,25.0,416.63024006091615,1010.6196695489465,4428.310850350436,0.6336280645964288,15130.78865834882,-14714.158418287903,12.00098910958677,52.58566787309757,179.67632669305442,-11.819115405188104,-26.26830694926293,-33.26610044680237
-14.5,25.0,425.31373753688456,1013.6839099277078,4434.802359825959,0.6049901673918389,15157.295315059795,-14731.98157752291,12.037376601857808,52.66275378075193,179.9910901081203,-11.824631037869874,-26.537732741160173,-33.324964318342886
-14.0,25.0,420.9575928892744,1017.5473342998752,4442.0925500861795,0.576204315697497,15185.969392963387,-14765.011800074113,12.083254309578248,52.74932392831177,180.3315913936356,-11.831585201739776,-26.80992774887765,-33.34313669853154
-13.5,25.0,418.7700178970381,1022.8685537598411,4450.145490754214,0.5474178859593396,15214.640299238325,-14795.870281341286,12.146443161638958,52.84495164679894,180.6720550164355,-11.841163396767714,-27.08350090972353,-33.4278240089971
-13.0,25.0,432.88444582509743,1030.2442188006164,4458.92585455797,0.5187710781958308,15241.286697126136,-14808.402251301039,12.234028312113823,52.94921742903343,180.98847784145738,-11.854439593841109,-27.35712683444187,-33.43592119994287
-12.5,25.0,448.8683161255995,1039.1080488222817,4468.399160995559,0.4903959109944138,15267.885369240817,-14819.017053115218,12.33928524581937,53.06171182313129,181.30433392856506,-11.870394487880107,-27.629555290842283,-33.53008421784056
-12.0,25.0,437.9918993100179,1048.3006086212251,4478.531985387254,0.46241536755992085,15298.413678377055,-14860.421779067037,12.448445806770634,53.182037914971914,181.66685399077755,-11.886941095518205,-27.89961926565777,-33.564773168705486
-11.5,25.0,458.91089147275255,1060.1360035426487,4489.292132196133,0.4349426974475908,15324.614103451207,-14865.703211978454,12.588989722389313,53.30981338636022,181.9779809413561,-11.908244806376768,-28.16624156092472,-33.634569709142696
-11.0,25.0,462.5412492823468,1072.596647937675,4500.648772184944,0.4080808757475939,15353.31186441483,-14890.770615132484,12.73695840159569,53.4446721437482,182.31876346040966,-11.930673966287815,-28.428439908204552,-33.690395890416106
-10.5,25.0,470.10163194835405,1086.4551303799872,4512.572543631352,0.38192221875034676,15381.489084576646,-14911.387452628293,12.90152624237383,53.586265520154,182.6533646189754,-11.955619234683978,-28.685330609783314,-33.762800862736924
