column,spacecraft_lon_deg,spacecraft_lat_deg,spacecraft_height_m,nadir_height_m,nadir_line,nadir_areoid_radius_m,nadir_ellipsoid_radius_m
4245,2.644366,76.793104,316417.782,-2967.0,2661.0,3379127.0,3377258.127
4246,2.637182,76.785557,316415.953,-2967.0,2661.0,3379129.0,3377259.315
4247,2.629957,76.777959,316414.111,-2967.0,2660.0,3379130.0,3377260.51
4248,2.622788,76.770412,316412.28,-2965.0,2660.0,3379131.0,3377261.699
4249,2.615578,76.762814,316410.435,-2964.0,2660.0,3379132.0,3377262.896
4250,2.608423,76.755266,316408.602,-2964.0,2660.0,3379133.0,3377264.086
4251,2.601228,76.747667,316406.755,-2965.0,2660.0,3379134.0,3377265.285
4252,2.594088,76.740119,316404.919,-2965.0,2660.0,3379135.0,3377266.476
4253,2.586908,76.73252,316403.069,-2965.0,2660.0,3379136.0,3377267.676
4254,2.579783,76.724972,316401.231,-2963.0,2660.0,3379137.0,3377268.868
4255,2.572617,76.717373,316399.379,-2963.0,2660.0,3379138.0,3377270.069
4256,2.565506,76.709824,316397.539,-2961.0,2659.0,3379139.0,3377271.263
4257,2.558355,76.702224,316395.685,-2960.0,2659.0,3379140.0,3377272.465
4258,2.551259,76.694675,316393.842,-2959.0,2659.0,3379142.0,3377273.66
4259,2.544122,76.687075,316391.986,-2957.0,2659.0,3379143.0,3377274.864
4260,2.537041,76.679526,316390.14,-2955.0,2658.0,3379144.0,3377276.061
4261,2.529919,76.671925,316388.282,-2953.0,2658.0,3379145.0,3377277.266
4262,2.522852,76.664375,316386.434,-2950.0,2657.0,3379145.0,3377278.464
4263,2.515744,76.656774,316384.573,-2948.0,2657.0,3379147.0,3377279.67
4264,2.508691,76.649224,316382.723,-2947.0,2657.0,3379147.0,3377280.869
4265,2.501598,76.641623,316380.86,-2946.0,2656.0,3379149.0,3377282.077
4266,2.49456,76.634073,316379.007,-2945.0,2656.0,3379150.0,3377283.277
4267,2.487481,76.626471,316377.142,-2944.0,2656.0,3379151.0,3377284.486
4268,2.480457,76.61892,316375.287,-2942.0,2656.0,3379152.0,3377285.688
4269,2.473393,76.611318,316373.419,-2940.0,2655.0,3379153.0,3377286.898
4270,2.466383,76.603767,316371.562,-2942.0,2655.0,3379154.0,3377288.101
4271,2.459333,76.596165,316369.691,-2945.0,2656.0,3379155.0,3377289.313
4272,2.452338,76.588613,316367.832,-2949.0,2657.0,3379156.0,3377290.517
4273,2.445302,76.581011,316365.959,-2951.0,2657.0,3379157.0,3377291.73
4274,2.43832,76.573459,316364.098,-2952.0,2657.0,3379158.0,3377292.936
4275,2.431299,76.565856,316362.222,-2953.0,2657.0,3379159.0,3377294.15
4276,2.424332,76.558304,316360.358,-2950.0,2657.0,3379160.0,3377295.357
4277,2.417324,76.5507,316358.481,-2945.0,2656.0,3379160.0,3377296.573
4278,2.410371,76.543148,316356.615,-2941.0,2655.0,3379162.0,3377297.781
4279,2.403378,76.535544,316354.735,-2935.0,2654.0,3379163.0,3377298.998
4280,2.396438,76.527991,316352.866,-2931.0,2653.0,3379164.0,3377300.208
4281,2.389459,76.520387,316350.984,-2931.0,2653.0,3379165.0,3377301.426
4282,2.382534,76.512834,316349.113,-2931.0,2653.0,3379165.0,3377302.637
4283,2.375569,76.50523,316347.228,-2931.0,2653.0,3379167.0,3377303.857
4284,2.368657,76.497676,316345.355,-2931.0,2653.0,3379167.0,3377305.069
4285,2.361706,76.490071,316343.468,-2931.0,2653.0,3379169.0,3377306.29
4286,2.354809,76.482517,316341.592,-2933.0,2653.0,3379170.0,3377307.503
4287,2.347871,76.474912,316339.703,-2934.0,2653.0,3379171.0,3377308.725
4288,2.340941,76.467307,316337.812,-2935.0,2654.0,3379172.0,3377309.948
4289,2.334064,76.459753,316335.933,-2936.0,2654.0,3379173.0,3377311.164
4290,2.327148,76.452147,316334.04,-2940.0,2654.0,3379174.0,3377312.388
4291,2.320285,76.444592,316332.159,-2942.0,2655.0,3379175.0,3377313.605
4292,2.313382,76.436986,316330.263,-2941.0,2654.0,3379176.0,3377314.83
4293,2.306533,76.429431,316328.38,-2946.0,2655.0,3379177.0,3377316.048
4294,2.299644,76.421825,316326.482,-2945.0,2655.0,3379178.0,3377317.275
4295,2.292809,76.414269,316324.596,-2942.0,2654.0,3379179.0,3377318.495
4296,2.285934,76.406663,316322.696,-2940.0,2654.0,3379180.0,3377319.723
4297,2.279111,76.399107,316320.807,-2945.0,2655.0,3379180.0,3377320.944
4298,2.27225,76.3915,316318.905,-2954.0,2656.0,3379182.0,3377322.173
4299,2.265442,76.383944,316317.014,-2960.0,2658.0,3379183.0,3377323.395
4300,2.258594,76.376337,316315.11,-2970.0,2659.0,3379185.0,3377324.626
4301,2.251799,76.36878,316313.216,-2970.0,2659.0,3379185.0,3377325.849
4302,2.244965,76.361173,316311.309,-2978.0,2661.0,3379187.0,3377327.081
4303,2.238183,76.353616,316309.414,-2977.0,2660.0,3379188.0,3377328.306
4304,2.231363,76.346008,316307.505,-2976.0,2660.0,3379189.0,3377329.54
4305,2.224595,76.338451,316305.607,-2970.0,2659.0,3379190.0,3377330.765
4306,2.217788,76.330842,316303.695,-2966.0,2659.0,3379191.0,3377332.0
4307,2.211033,76.323285,316301.795,-2966.0,2658.0,3379192.0,3377333.227
4308,2.204239,76.315676,316299.881,-2971.0,2659.0,3379192.0,3377334.464
4309,2.197498,76.308118,316297.978,-2974.0,2660.0,3379194.0,3377335.692
4310,2.190718,76.300509,316296.062,-2974.0,2660.0,3379195.0,3377336.929
4311,2.18399,76.292951,316294.157,-2970.0,2659.0,3379196.0,3377338.159
4312,2.177223,76.285342,316292.238,-2969.0,2659.0,3379197.0,3377339.398
4313,2.170508,76.277784,316290.331,-2961.0,2657.0,3379198.0,3377340.629
4314,2.163755,76.270174,316288.41,-2960.0,2657.0,3379199.0,3377341.869
4315,2.157053,76.262615,316286.501,-2958.0,2657.0,3379200.0,3377343.102
4316,2.150313,76.255005,316284.577,-2961.0,2657.0,3379200.0,3377344.343
4317,2.143625,76.247446,316282.665,-2964.0,2658.0,3379202.0,3377345.577
4318,2.136898,76.239836,316280.74,-2966.0,2658.0,3379203.0,3377346.819
4319,2.130223,76.232276,316278.825,-2970.0,2659.0,3379204.0,3377348.054
4320,2.123509,76.224666,316276.897,-2973.0,2659.0,3379205.0,3377349.298
4321,2.116847,76.217106,316274.981,-2973.0,2659.0,3379205.0,3377350.535
4322,2.110146,76.209495,316273.05,-2972.0,2659.0,3379207.0,3377351.78
4323,2.103497,76.201935,316271.132,-2970.0,2659.0,3379208.0,3377353.018
4324,2.09681,76.194324,316269.199,-2969.0,2658.0,3379210.0,3377354.264
4325,2.090173,76.186763,316267.278,-2970.0,2659.0,3379211.0,3377355.503
4326,2.083499,76.179152,316265.342,-2965.0,2658.0,3379212.0,3377356.751
4327,2.076876,76.171591,316263.419,-2964.0,2658.0,3379212.0,3377357.991
4328,2.070215,76.163979,316261.481,-2970.0,2658.0,3379214.0,3377359.241
4329,2.06356,76.156367,316259.543,-2974.0,2659.0,3379215.0,3377360.491
4330,2.056956,76.148805,316257.616,-2975.0,2659.0,3379216.0,3377361.733
4331,2.050314,76.141193,316255.675,-2973.0,2659.0,3379217.0,3377362.984
4332,2.043723,76.133632,316253.745,-2973.0,2659.0,3379218.0,3377364.227
4333,2.037094,76.126019,316251.802,-2970.0,2658.0,3379219.0,3377365.48
4334,2.030516,76.118457,316249.87,-2965.0,2657.0,3379220.0,3377366.725
4335,2.0239,76.110844,316247.924,-2960.0,2656.0,3379220.0,3377367.979
4336,2.017335,76.103282,316245.991,-2959.0,2656.0,3379222.0,3377369.225
4337,2.010732,76.095668,316244.042,-2959.0,2656.0,3379223.0,3377370.48
