offset_line_below_nadir,approx_free_space_range_below_nadir_m,surface_along_track_offset_km,surface_doppler_hz,folded_doppler_hz,inside_center_doppler_band
184,2760.0,41.89424514770508,58.89320755004883,-28.641799926757812,False
185,2775.0,42.008384704589844,59.050880432128906,-28.48412322998047,False
186,2790.0,42.12230682373047,59.20824432373047,-28.326759338378906,False
187,2805.0,42.23583221435547,59.36502456665039,-28.16998291015625,False
188,2820.0,42.349143981933594,59.52149963378906,-28.013504028320312,False
189,2835.0,42.462154388427734,59.67753601074219,-27.857467651367188,False
190,2850.0,42.57476806640625,59.83299255371094,-27.702011108398438,False
191,2865.0,42.68718338012695,59.988155364990234,-27.546844482421875,False
192,2880.0,42.7993049621582,60.14289855957031,-27.392105102539062,False
193,2895.0,42.911128997802734,60.29720687866211,-27.23779296875,False
194,2910.0,43.02266311645508,60.451087951660156,-27.08391571044922,False
195,2925.0,43.1339111328125,60.60456085205078,-26.930442810058594,False
196,2940.0,43.244869232177734,60.75761413574219,-26.777389526367188,False
197,2955.0,43.35554504394531,60.910247802734375,-26.624755859375,False
198,2970.0,43.4659423828125,61.06247329711914,-26.4725341796875,False
199,2985.0,43.57615280151367,61.21442794799805,-26.320571899414062,False
200,3000.0,43.68598937988281,61.3658447265625,-26.169158935546875,False
201,3015.0,43.79555130004883,61.5168571472168,-26.018142700195312,False
202,3030.0,43.90493392944336,61.66761016845703,-25.867393493652344,False
203,3045.0,44.01395034790039,61.81782531738281,-25.717178344726562,False
204,3060.0,44.12278747558594,61.96778106689453,-25.567222595214844,False
205,3075.0,44.23126983642578,62.11722183227539,-25.41778564453125,False
206,3090.0,44.339576721191406,62.26640701293945,-25.268600463867188,False
207,3105.0,44.4476203918457,62.415199279785156,-25.11980438232422,False
208,3120.0,44.5553092956543,62.56349182128906,-24.971511840820312,False
209,3135.0,44.66282653808594,62.71152114868164,-24.823486328125,False
210,3150.0,44.77009201049805,62.85918045043945,-24.675827026367188,False
211,3165.0,44.877098083496094,63.00646209716797,-24.528541564941406,False
212,3180.0,44.98385238647461,63.15338897705078,-24.381614685058594,False
213,3195.0,45.09035110473633,63.299930572509766,-24.235076904296875,False
214,3210.0,45.196598052978516,63.446102142333984,-24.088897705078125,False
215,3225.0,45.30259704589844,63.59192657470703,-23.943077087402344,False
216,3240.0,45.408348083496094,63.73738098144531,-23.797622680664062,False
217,3255.0,45.51385498046875,63.882476806640625,-23.65252685546875,False
218,3270.0,45.619205474853516,64.02734375,-23.507659912109375,False
219,3285.0,45.72422790527344,64.1717300415039,-23.36327362060547,False
220,3300.0,45.829002380371094,64.31576538085938,-23.21923828125,False
221,3315.0,45.933631896972656,64.45957946777344,-23.075424194335938,False
222,3330.0,46.03793716430664,64.60292053222656,-22.932083129882812,False
223,3345.0,46.14208984375,64.74603271484375,-22.788970947265625,False
224,3360.0,46.246009826660156,64.88882446289062,-22.64617919921875,False
225,3375.0,46.349609375,65.03113555908203,-22.503868103027344,False
