position_km,normal_altitude_km,ascending_altitude_km,descending_altitude_km,normal_radial_velocity_m_s,ascending_radial_velocity_m_s,descending_radial_velocity_m_s,normal_vhf_doppler_hz,ascending_vhf_doppler_hz,descending_vhf_doppler_hz,normal_hf_doppler_hz,ascending_hf_doppler_hz,descending_hf_doppler_hz
-25.400,400.000000,396.825000,403.175000,-252.997774,242.989730,-749.078811,101.199109,-97.195892,299.631524,15.195061,-14.593978,44.989718
-25.200,400.000000,396.850000,403.150000,-251.013541,245.021521,-747.140433,100.405416,-98.008608,298.856173,15.075888,-14.716007,44.873299
-25.000,400.000000,396.875000,403.125000,-249.029123,247.053125,-745.201518,99.611649,-98.821250,298.080607,14.956704,-14.838025,44.756848
-24.800,400.000000,396.900000,403.100000,-247.044519,249.084539,-743.262068,98.817808,-99.633816,297.304827,14.837509,-14.960032,44.640364
-24.600,400.000000,396.925000,403.075000,-245.059733,251.115764,-741.322083,98.023893,-100.446305,296.528833,14.718302,-15.082028,44.523849
-24.400,400.000000,396.950000,403.050000,-243.074765,253.146796,-739.381565,97.229906,-101.258718,295.752626,14.599085,-15.204012,44.407301
-24.200,400.000000,396.975000,403.025000,-241.089617,255.177635,-737.440515,96.435847,-102.071054,294.976206,14.479857,-15.325984,44.290722
-24.000,400.000000,397.000000,403.000000,-239.104289,257.208278,-735.498934,95.641716,-102.883311,294.199574,14.360618,-15.447945,44.174110
-23.800,400.000000,397.025000,402.975000,-237.118785,259.238726,-733.556824,94.847514,-103.695490,293.422729,14.241368,-15.569893,44.057467
-23.600,400.000000,397.050000,402.950000,-235.133105,261.268975,-731.614185,94.053242,-104.507590,292.645674,14.122108,-15.691830,43.940792
-23.400,400.000000,397.075000,402.925000,-233.147250,263.299024,-729.671019,93.258900,-105.319610,291.868407,14.002838,-15.813755,43.824085
-23.200,400.000000,397.100000,402.900000,-231.161222,265.328872,-727.727326,92.464489,-106.131549,291.090931,13.883557,-15.935668,43.707347
-23.000,400.000000,397.125000,402.875000,-229.175022,267.358518,-725.783109,91.670009,-106.943407,290.313244,13.764266,-16.057569,43.590577
-22.800,400.000000,397.150000,402.850000,-227.188653,269.387959,-723.838369,90.875461,-107.755184,289.535347,13.644964,-16.179457,43.473776
-22.600,400.000000,397.175000,402.825000,-225.202115,271.417195,-721.893106,90.080846,-108.566878,288.757242,13.525653,-16.301333,43.356943
-22.400,400.000000,397.200000,402.800000,-223.215410,273.446223,-719.947322,89.286164,-109.378489,287.978929,13.406331,-16.423197,43.240079
-22.200,400.000000,397.225000,402.775000,-221.228539,275.475043,-718.001018,88.491415,-110.190017,287.200407,13.286999,-16.545048,43.123184
-22.000,400.000000,397.250000,402.750000,-219.241503,277.503652,-716.054195,87.696601,-111.001461,286.421678,13.167658,-16.666886,43.006258
-21.800,400.000000,397.275000,402.725000,-217.254305,279.532049,-714.106854,86.901722,-111.812820,285.642742,13.048307,-16.788712,42.889301
-21.600,400.000000,397.300000,402.700000,-215.266946,281.560233,-712.158998,86.106778,-112.624093,284.863599,12.928946,-16.910525,42.772312
-21.400,400.000000,397.325000,402.675000,-213.279426,283.588203,-710.210626,85.311771,-113.435281,284.084251,12.809575,-17.032324,42.655293
-21.200,400.000000,397.350000,402.650000,-211.291749,285.615956,-708.261741,84.516699,-114.246382,283.304696,12.690195,-17.154111,42.538243
-21.000,400.000000,397.375000,402.625000,-209.303914,287.643491,-706.312343,83.721566,-115.057396,282.524937,12.570806,-17.275885,42.421162
-20.800,400.000000,397.400000,402.600000,-207.315924,289.670806,-704.362433,82.926369,-115.868323,281.744973,12.451407,-17.397646,42.304050
-20.600,400.000000,397.425000,402.575000,-205.327779,291.697901,-702.412014,82.131112,-116.679160,280.964806,12.331999,-17.519393,42.186908
