band,frequency_mhz,wavelength_m,altitude_km,depth_km,look_angle_deg,doppler_edge_hz,min_prf_hz,max_prf_hz,two_way_us,listen_window_us,usable
HF,9.0,33.31027311111111,25.0,25.25,69.05793994105797,257.9465366510725,644.8663416276813,1467.0870476476794,466.6228127726949,681.6228127726949,True
HF,9.0,33.31027311111111,25.0,25.5,69.19649884703183,258.18451093625663,645.4612773406416,1460.7250476740867,469.5915332199585,684.5915332199585,True
HF,9.0,33.31027311111111,25.0,25.75,69.33319203317129,258.41780130355374,646.0445032588843,1454.417986883806,472.560253667222,687.560253667222,True
HF,9.0,33.31027311111111,25.0,26.0,69.46805785734298,258.6465314751735,646.6163286879338,1448.1651566936364,475.52897411448555,690.5289741144855,True
HF,9.0,33.31027311111111,25.0,26.25,69.6011336071895,258.87082105949304,647.1770526487326,1441.9658606535713,478.49769456174914,693.4976945617491,True
HF,9.0,33.31027311111111,25.0,26.5,69.73245553810027,259.09078571643937,647.7269642910984,1435.8194141882052,481.4664150090127,696.4664150090127,True
HF,9.0,33.31027311111111,25.0,26.75,69.86205890954001,259.3065373150541,648.2663432876352,1429.7251443447296,484.4351354562762,699.4351354562762,True
HF,9.0,33.31027311111111,25.0,27.0,69.98997801981776,259.5181840836644,648.795460209161,1423.6823895473158,487.4038559035398,702.4038559035398,True
HF,9.0,33.31027311111111,25.0,27.25,70.1162462393768,259.72583075306267,649.3145768826566,1417.6904993577032,490.37257635080334,705.3725763508033,True
HF,9.0,33.31027311111111,25.0,27.5,70.24089604267921,259.9295786930668,649.823946732667,1411.748834241806,493.34129679806694,708.3412967980669,True
HF,9.0,33.31027311111111,25.0,27.75,70.36395903875521,260.1295260428156,650.323815107039,1405.8567653421653,496.3100172453304,711.3100172453304,True
HF,9.0,33.31027311111111,25.0,28.0,70.48546600048428,260.32576783512957,650.814419587824,1400.0136742560755,499.278737692594,714.278737692594,True
HF,9.0,33.31027311111111,25.0,28.25,70.60544689266922,260.51839611524815,651.2959902881204,1394.2189528192205,502.2474581398576,717.2474581398576,True
HF,9.0,33.31027311111111,25.0,28.5,70.7239308989629,260.7075000542362,651.7687501355906,1388.4720028946626,505.2161785871211,720.216178587121,True
HF,9.0,33.31027311111111,25.0,28.75,70.84094644770265,260.89316605733507,652.2329151433377,1382.7722361670246,508.18489903438467,723.1848990343847,True
HF,9.0,33.31027311111111,25.0,29.0,70.95652123670472,261.075477867518,652.6886946687949,1377.119073941726,511.15361948164826,726.1536194816483,True
HF,9.0,33.31027311111111,25.0,29.25,71.07068225706867,261.2545166644936,653.136291661234,1371.5119469491203,514.1223399289117,729.1223399289117,True
HF,9.0,33.31027311111111,25.0,29.5,71.1834558160378,261.43036115938764,653.5759028984692,1365.950295153397,517.0910603761753,732.0910603761753,True
HF,9.0,33.31027311111111,25.0,29.75,71.29486755896038,261.6030876853199,654.0077192132998,1360.4335675661182,520.0597808234389,735.0597808234389,True
HF,9.0,33.31027311111111,25.0,30.0,71.40494249039328,261.77277028408196,654.431925710205,1354.961222064253,523.0285012707023,738.0285012707023,True
VHF,60.0,4.996540966666666,25.0,0.0,0.0,0.0,0.0,2619.2955019460173,166.78204759907604,381.782047599076,True
VHF,60.0,4.996540966666666,25.0,0.25,10.731276489279097,342.85065876270477,857.126646906762,2599.0851300381537,169.75076804633957,384.75076804633954,True
VHF,60.0,4.996540966666666,25.0,0.5,15.066717338530044,478.6273956628466,1196.5684891571166,2579.1842547953293,172.71948849360314,387.71948849360314,True
VHF,60.0,4.996540966666666,25.0,0.75,18.321605818805523,578.8052585881434,1447.0131464703584,2559.5858209054804,175.68820894086667,390.6882089408667,True
VHF,60.0,4.996540966666666,25.0,1.0,21.00766323109466,660.0834231394854,1650.2085578487136,2540.2829858839837,178.65692938813024,393.65692938813027,True
VHF,60.0,4.996540966666666,25.0,1.25,23.325008550463988,729.0456422095671,1822.6141055239177,2521.269112108651,181.62564983539377,396.6256498353938,True
VHF,60.0,4.996540966666666,25.0,1.5,25.377241167248222,789.1262777091928,1972.815694272982,2502.537759209769,184.59437028265734,399.59437028265734,True
