apparent_depth_km,surface_offset_km,positive_true_doppler_hz,negative_true_doppler_hz,positive_alias_current_prf_hz,negative_alias_current_prf_hz,positive_alias_zero_overlap_prf_hz,negative_alias_zero_overlap_prf_hz
5.7625,24.861087618253954,1297.446658987507,-1297.446658987507,-909.9061561152434,909.9061561152434,-15.36187046134819,15.36187046134819
5.775,24.89263184659268,1298.2735752414442,-1298.2735752414442,-909.0792398613062,909.0792398613062,-14.53495420741092,14.53495420741092
5.7875000000000005,24.924156015048936,1299.0984035547824,-1299.0984035547824,-908.2544115479682,908.254411547968,-13.71012589407269,13.71012589407269
5.800000000000001,24.955660199642082,1299.9211518327888,-1299.9211518327888,-907.4316632699615,907.4316632699615,-12.88737761606626,12.88737761606626
5.8125,24.987144475960033,1300.741827938366,-1300.741827938366,-906.6109871643844,906.6109871643844,-12.06670151048911,12.06670151048911
5.825,25.01860891916255,1301.5604396923559,-1301.5604396923559,-905.7923754103945,905.7923754103945,-11.248089756499212,11.248089756499212
5.8375,25.050053603984566,1302.3769948738468,-1302.3769948738468,-904.9758202289036,904.9758202289036,-10.4315345750083,10.4315345750083
5.8500000000000005,25.081478604739395,1303.1915012204695,-1303.1915012204695,-904.1613138822809,904.1613138822809,-9.617028228385607,9.617028228385607
5.862500000000001,25.112883995322,1304.003966428697,-1304.003966428697,-903.3488486740534,903.3488486740534,-8.804563020158184,8.804563020158184
5.875,25.14426984921217,1304.814398154139,-1304.814398154139,-902.538416948611,902.5384169486113,-7.994131294715999,7.994131294715999
5.8875,25.175636239477644,1305.622804011834,-1305.622804011834,-901.7300110909164,901.7300110909164,-7.185725437021119,7.185725437021119
5.9,25.206983238777305,1306.4291915765377,-1306.4291915765377,-900.9236235262129,900.9236235262126,-6.379337872317365,6.379337872317365
5.9125000000000005,25.238310919364235,1307.2335683830113,-1307.2335683830113,-900.1192467197393,900.1192467197391,-5.574961065843809,5.574961065843809
5.925000000000001,25.2696193530888,1308.0359419263048,-1308.0359419263048,-899.3168731764458,899.3168731764456,-4.772587522550339,4.772587522550339
5.9375,25.300908611401688,1308.8363196620376,-1308.8363196620376,-898.5164954407128,898.5164954407128,-3.9722097868175297,3.9722097868175297
5.95,25.332178765356918,1309.6347090066797,-1309.6347090066797,-897.7181060960706,897.7181060960706,-3.1738204421753835,3.1738204421753835
5.9625,25.36342988561484,1310.431117337825,-1310.431117337825,-896.9216977649253,896.9216977649253,-2.3774121110300257,2.3774121110300257
5.9750000000000005,25.394662042445063,1311.2255519944695,-1311.2255519944695,-896.1272631082807,896.1272631082809,-1.5829774543856274,1.5829774543856274
5.987500000000001,25.4258753057294,1312.0180202772776,-1312.0180202772776,-895.3347948254727,895.3347948254727,-0.7905091715774688,0.7905091715774688
6.0,25.457069744964755,1312.808529448855,-1312.808529448855,-894.5442856538953,894.5442856538953,0.0,0.0
6.0125,25.48824542926602,1313.5970867340147,-1313.5970867340147,-893.7557283687356,893.7557283687356,0.7885572851596407,-0.7885572851596407
6.025,25.519402427368867,1314.3836993200384,-1314.3836993200384,-892.9691157827119,892.9691157827119,1.5751698711833342,-1.5751698711833342
6.0375000000000005,25.550540807632625,1315.1683743569424,-1315.1683743569424,-892.1844407458079,892.1844407458079,2.359844908087325,-2.359844908087325
6.050000000000001,25.581660638043026,1315.9511189577336,-1315.9511189577336,-891.4016961450166,891.4016961450168,3.1425895088784728,-3.1425895088784728
6.0625,25.612761986215,1316.7319401986686,-1316.7319401986686,-890.620874904082,890.6208749040818,3.9234107498134563,-3.9234107498134563
6.075,25.643844919395374,1317.5108451195078,-1317.5108451195078,-889.8419699832425,889.8419699832425,4.702315670652752,-4.702315670652752
6.0875,25.67490950446564,1318.287840723768,-1318.287840723768,-889.0649743789822,889.0649743789822,5.479311274913016,-5.479311274913016
6.1000000000000005,25.705955807944584,1319.0629339789734,-1319.0629339789734,-888.2898811237769,888.2898811237769,6.254404530118336,-6.254404530118336
6.112500000000001,25.736983895991,1319.8361318169032,-1319.8361318169032,-887.5166832858472,887.5166832858472,7.027602368048065,-7.027602368048065
6.125,25.76799383440628,1320.6074411338363,-1320.6074411338363,-886.745373968914,886.745373968914,7.798911684981249,-7.798911684981249
6.1375,25.79898568863706,1321.3768687907973,-1321.3768687907973,-885.9759463119531,885.9759463119531,8.568339341942192,-8.568339341942192
6.15,25.82995952377781,1322.1444216137972,-1322.1444216137972,-885.2083934889529,885.2083934889531,9.335892164942152,-9.335892164942152
6.1625000000000005,25.860915404573365,1322.9101063940725,-1322.9101063940725,-884.4427087086779,884.4427087086779,10.101576945217403,-10.101576945217403
6.175000000000001,25.891853395421503,1323.6739298883226,-1323.6739298883226,-883.6788852144277,883.6788852144277,10.865400439467521,-10.865400439467521
6.1875,25.92277356037544,1324.4358988189458,-1324.4358988189458,-882.9169162838048,882.9169162838045,11.627369370090719,-11.627369370090719
6.2,25.95367596314634,1325.196019874272,-1325.196019874272,-882.1567952284781,882.1567952284784,12.3874904254169,-12.3874904254169
6.2125,25.984560667105765,1325.9542997087935,-1325.9542997087935,-881.398515393957,881.3985153939568,13.145770259938445,-13.145770259938445
6.2250000000000005,26.01542773528815,1326.7107449433959,-1326.7107449433959,-880.6420701593547,880.6420701593545,13.90221549454077,-13.90221549454077
6.237500000000001,26.046277230393216,1327.4653621655832,-1327.4653621655832,-879.8874529371674,879.8874529371672,14.656832716728104,-14.656832716728104
6.25,26.07710921478836,1328.2181579297046,-1328.2181579297046,-879.134657173046,879.1346571730458,15.409628480849506,-15.409628480849506
6.2625,26.10792375051107,1328.969138757177,-1328.969138757177,-878.3836763455733,878.3836763455733,16.16060930832191,-16.16060930832191
6.275,26.13872089927126,1329.7183111367067,-1329.7183111367067,-877.6345039660437,877.6345039660437,16.90978168785159,-16.90978168785159
6.2875000000000005,26.16950072245361,1330.465681524509,-1330.465681524509,-876.8871335782414,876.8871335782414,17.657152075653812,-17.657152075653812
6.300000000000001,26.200263281119906,1331.211256344525,-1331.211256344525,-876.1415587582255,876.1415587582253,18.402726895669957,-18.402726895669957
6.3125,26.231008636011314,1331.9550419886389,-1331.9550419886389,-875.3977731141117,875.3977731141115,19.14651253978377,-19.14651253978377
6.325,26.261736847550658,1332.6970448168902,-1332.6970448168902,-874.6557702858604,874.6557702858602,19.888515368035087,-19.888515368035087
6.3375,26.2924479758447,1333.4372711576866,-1333.4372711576866,-873.9155439450637,873.9155439450637,20.628741708831512,-20.628741708831512
6.3500000000000005,26.32314208068634,1334.1757273080148,-1334.1757273080148,-873.1770877947356,873.1770877947356,21.36719785915966,-21.36719785915966
6.362500000000001,26.353819221556865,1334.9124195336476,-1334.9124195336476,-872.4403955691027,872.4403955691027,22.10389008479251,-22.10389008479251
6.375,26.384479457628117,1335.647354069351,-1335.647354069351,-871.7054610333994,871.7054610333994,22.83882462049587,-22.83882462049587
6.3875,26.41512284776469,1336.38053711909,-1336.38053711909,-870.9722779836607,870.9722779836604,23.572007670234825,-23.572007670234825
6.4,26.445749450526073,1337.1119748562317,-1337.1119748562317,-870.2408402465185,870.2408402465187,24.303445407376557,-24.303445407376557
6.4125000000000005,26.476359324168797,1337.8416734237446,-1337.8416734237446,-869.5111416790055,869.5111416790057,25.033143974889526,-25.033143974889526
6.425000000000001,26.50695252664855,1338.5696389344016,-1338.5696389344016,-868.7831761683487,868.7831761683487,25.761109485546513,-25.761109485546513
6.4375,26.537529115622277,1339.2958774709773,-1339.2958774709773,-868.056937631773,868.056937631773,26.487348022122205,-26.487348022122205
6.45,26.568089148450248,1340.020395086441,-1340.020395086441,-867.3324200163092,867.3324200163092,27.211865637586016,-27.211865637586016
6.4625,26.59863268219816,1340.7431978041575,-1340.7431978041575,-866.6096172985931,866.6096172985929,27.934668355302392,-27.934668355302392
6.4750000000000005,26.629159773639124,1341.4642916180746,-1341.4642916180746,-865.8885234846757,865.8885234846757,28.655762169219543,-28.655762169219543
6.487500000000001,26.65967047925574,1342.1836824929185,-1342.1836824929185,-865.1691326098321,865.1691326098319,29.37515304406338,-29.37515304406338
6.5,26.690164855242088,1342.901376364382,-1342.901376364382,-864.4514387383683,864.4514387383683,30.092846915526934,-30.092846915526934
6.5125,26.72064295750572,1343.6173791393128,-1343.6173791393128,-863.7354359634378,863.7354359634376,30.80884969045769,-30.80884969045769
6.525,26.751104841669626,1344.3316966959023,-1344.3316966959023,-863.021118406848,863.021118406848,31.52316724704724,-31.52316724704724
6.5375000000000005,26.7815505630742,1345.0443348838674,-1345.0443348838674,-862.3084802188828,862.308480218883,32.23580543501225,-32.23580543501225
6.550000000000001,26.811980176779187,1345.7552995246378,-1345.7552995246378,-861.5975155781125,861.5975155781125,32.94677007578275,-32.94677007578275
6.5625,26.842393737565583,1346.4645964115366,-1346.4645964115366,-860.8882186912138,860.8882186912138,33.65606696268151,-33.65606696268151
6.575,26.87279129993756,1347.1722313099601,-1347.1722313099601,-860.18058379279,860.1805837927902,34.36370186110503,-34.36370186110503
6.5875,26.903172918124362,1347.878209957559,-1347.878209957559,-859.4746051451916,859.4746051451914,35.06968050870387,-35.06968050870387
6.6000000000000005,26.933538646082134,1348.5825380644153,-1348.5825380644153,-858.7702770383353,858.770277038335,35.774008615560206,-35.774008615560206
6.612500000000001,26.963888537495848,1349.2852213132182,-1349.2852213132182,-858.0675937895321,858.0675937895321,36.47669186436315,-36.47669186436315
6.625,26.99422264578108,1349.9862653594398,-1349.9862653594398,-857.3665497433108,857.3665497433105,37.177735910584715,-37.177735910584715
6.6375,27.024541024085867,1350.6856758315075,-1350.6856758315075,-856.6671392712428,856.6671392712428,37.87714638265243,-37.87714638265243
6.65,27.054843725292518,1351.3834583309779,-1351.3834583309779,-855.9693567717727,855.9693567717725,38.57492888212278,-38.57492888212278
6.6625000000000005,27.085130802019396,1352.079618432705,-1352.079618432705,-855.2731966700453,855.2731966700453,39.27108898384995,-39.27108898384995
6.675000000000001,27.115402306622705,1352.7741616850121,-1352.7741616850121,-854.5786534177382,854.5786534177382,39.965632236157035,-39.965632236157035
6.6875,27.145658291198245,1353.4670936098573,-1353.4670936098573,-853.885721492893,853.885721492893,40.65856416100223,-40.65856416100223
6.7,27.175898807583163,1354.158419703001,-1354.158419703001,-853.1943953997493,853.1943953997493,41.349890254145976,-41.349890254145976
6.7125,27.206123907357693,1354.8481454341722,-1354.8481454341722,-852.5046696685781,852.5046696685781,42.03961598531714,-42.03961598531714
6.7250000000000005,27.23633364184688,1355.536276247231,-1355.536276247231,-851.8165388555194,851.8165388555194,42.72774679837585,-42.72774679837585
6.737500000000001,27.266528062122248,1356.2228175603311,-1356.2228175603311,-851.1299975424195,851.1299975424192,43.414288111476026,-43.414288111476026
6.75,27.29670721900354,1356.9077747660817,-1356.9077747660817,-850.4450403366686,850.4450403366686,44.09924531722663,-44.09924531722663
6.7625,27.32687116306036,1357.5911532317077,-1357.5911532317077,-849.7616618710426,849.7616618710426,44.782623782852625,-44.782623782852625
6.775,27.35701994461385,1358.2729582992076,-1358.2729582992076,-849.079856803543,849.0798568035427,45.46442885035253,-45.46442885035253
6.7875000000000005,27.387153613738324,1358.9531952855114,-1358.9531952855114,-848.399619817239,848.399619817239,46.14466583665626,-46.14466583665626
6.800000000000001,27.417272220262905,1359.6318694826364,-1359.6318694826364,-847.720945620114,847.720945620114,46.82334003378128,-46.82334003378128
6.8125,27.447375813773164,1360.3089861578433,-1360.3089861578433,-847.0438289449071,847.0438289449071,47.50045670898817,-47.50045670898817
6.825,27.4774644436127,1360.9845505537871,-1360.9845505537871,-846.368264548963,846.3682645489632,48.17602110493203,-48.17602110493203
6.8375,27.50753815888474,1361.6585678886736,-1361.6585678886736,-845.6942472140768,845.6942472140768,48.85003843981849,-48.85003843981849
6.8500000000000005,27.537597008453734,1362.3310433564077,-1362.3310433564077,-845.0217717463424,845.0217717463427,49.52251390755259,-49.52251390755259
6.862500000000001,27.567641040946903,1363.0019821267438,-1363.0019821267438,-844.3508329760066,844.3508329760066,50.19345267788867,-50.19345267788867
6.875,27.5976703047558,1363.6713893454357,-1363.6713893454357,-843.6814257573146,843.6814257573146,50.86285989658063,-50.86285989658063
6.8875,27.62768484803785,1364.3392701343846,-1364.3392701343846,-843.0135449683657,843.0135449683657,51.53074068552951,-51.53074068552951
6.9,27.65768471871787,1365.0056295917839,-1365.0056295917839,-842.3471855109665,842.3471855109665,52.197100142928775,-52.197100142928775
6.9125000000000005,27.687669964489608,1365.6704727922656,-1365.6704727922656,-841.6823423104847,841.6823423104847,52.86194334341053,-52.86194334341053
6.925000000000001,27.717640632817215,1366.3338047870461,-1366.3338047870461,-841.0190103157042,841.0190103157042,53.52527533819102,-53.52527533819102
6.9375,27.74759677093676,1366.9956306040667,-1366.9956306040667,-840.3571844986836,840.3571844986836,54.18710115521162,-54.18710115521162
6.95,27.77753842585768,1367.6559552481372,-1367.6559552481372,-839.6968598546132,839.6968598546132,54.847425799282064,-54.847425799282064
6.9625,27.807465644364285,1368.3147837010767,-1368.3147837010767,-839.0380314016734,839.0380314016736,55.50625425222165,-55.50625425222165
6.9750000000000005,27.837378473017175,1368.9721209218535,-1368.9721209218535,-838.3806941808966,838.3806941808969,56.163591472998405,-56.163591472998405
6.987500000000001,27.867276958154704,1369.6279718467229,-1369.6279718467229,-837.7248432560277,837.7248432560275,56.81944239786776,-56.81944239786776
7.0,27.897161145894398,1370.282341389367,-1370.282341389367,-837.0704737133833,837.0704737133833,57.47381194051195,-57.47381194051195
7.0125,27.927031082134384,1370.9352344410293,-1370.9352344410293,-836.4175806617209,836.4175806617211,58.126704992174155,-58.126704992174155
7.025,27.956886812554792,1371.5866558706507,-1371.5866558706507,-835.7661592320997,835.7661592320997,58.778126421795605,-58.778126421795605
7.0375000000000005,27.986728382619145,1372.2366105250048,-1372.2366105250048,-835.1162045777455,835.1162045777455,59.42808107614974,-59.42808107614974
7.050000000000001,28.016555837575755,1372.8851032288312,-1372.8851032288312,-834.4677118739191,834.4677118739191,60.076573779976115,-60.076573779976115
7.0625,28.04636922245908,1373.5321387849676,-1373.5321387849676,-833.8206763177827,833.8206763177827,60.72360933611253,-60.72360933611253
7.075,28.07616858209111,1374.1777219744808,-1374.1777219744808,-833.1750931282695,833.1750931282695,61.36919252562575,-61.36919252562575
7.0875,28.105953961082694,1374.8218575567987,-1374.8218575567987,-832.5309575459519,832.5309575459517,62.01332810794361,-62.01332810794361
