timeS,altitudeFineKm,incidenceFineDeg,distanceFineKm,groundTrackFineKm,latFineDeg,lonFineDeg,rangeRateKmS,dopplerHz,aliasHz_prf_737_7,foldOrder_prf_737_7,aliasHz_prf_1000,foldOrder_prf_1000,aliasHz_prf_1500,foldOrder_prf_1500,aliasHz_prf_2200,foldOrder_prf_2200,aliasHz_prf_3000,foldOrder_prf_3000
-194,249.943,13.883,161.208,-771.654,-0.49,173.052,-2.89449999999999,1158.60152826126,-316.798471738741,2,158.601528261259,1,-341.398471738741,1,-1041.39847173874,1,1158.60152826126,0
-193.5,248.982,13.946,159.7675,-769.94675,-0.4905,173.1145,-2.881,1153.19778991905,-322.202210080949,2,153.197789919051,1,-346.802210080949,1,-1046.80221008095,1,1153.19778991905,-0
-193,248.021,14.009,158.327,-768.2395,-0.491,173.177,-2.88100000000003,1153.19778991906,-322.202210080937,2,153.197789919063,1,-346.802210080937,1,-1046.80221008094,1,1153.19778991906,0
-192.5,247.06,14.072,156.8865,-766.53225,-0.4915,173.2395,-2.881,1153.19778991905,-322.202210080949,2,153.197789919051,1,-346.802210080949,1,-1046.80221008095,1,1153.19778991905,-0
-192,246.099,14.135,155.446,-764.825,-0.492,173.302,-2.86449999999999,1146.59322083413,-328.806779165875,2,146.593220834125,1,-353.406779165875,1,-1053.40677916587,1,1146.59322083413,0
-191.5,245.14575,14.1985,154.022,-763.1105,-0.49225,173.365,-2.84799999999998,1139.9886517492,-335.411348250802,2,139.988651749198,1,-360.011348250802,1,-1060.0113482508,1,1139.9886517492,-0
-191,244.1925,14.262,152.598,-761.396,-0.4925,173.428,-2.84799999999998,1139.9886517492,-335.411348250802,2,139.988651749198,1,-360.011348250802,1,-1060.0113482508,1,1139.9886517492,-0
-190.5,243.23925,14.3255,151.174,-759.6815,-0.49275,173.491,-2.84800000000001,1139.98865174921,-335.41134825079,2,139.98865174921,1,-360.01134825079,1,-1060.01134825079,1,1139.98865174921,0
-190,242.286,14.389,149.75,-757.967,-0.493,173.554,-2.82875000000001,1132.28332115013,-343.116678849867,2,132.283321150133,1,-367.716678849867,1,-1067.71667884987,1,1132.28332115013,-0
-189.5,241.341,14.45275,148.34525,-756.24525,-0.49325,173.61725,-2.80950000000001,1124.57799055106,-350.822009448944,2,124.577990551056,1,-375.422009448944,1,-1075.42200944894,1,1124.57799055106,0
-189,240.396,14.5165,146.9405,-754.5235,-0.4935,173.6805,-2.80949999999999,1124.57799055104,-350.822009448956,2,124.577990551044,1,-375.422009448956,1,-1075.42200944896,1,1124.57799055104,-0
-188.5,239.451,14.58025,145.53575,-752.80175,-0.49375,173.74375,-2.80949999999999,1124.57799055104,-350.822009448956,2,124.577990551044,1,-375.422009448956,1,-1075.42200944896,1,1124.57799055104,-0
-188,238.506,14.644,144.131,-751.08,-0.494,173.807,-2.78674999999998,1115.47169075213,-359.928309247866,2,115.471690752134,1,-384.528309247866,1,-1084.52830924787,1,1115.47169075213,0
-187.5,237.56875,14.708,142.749,-749.351,-0.4945,173.8705,-2.76399999999998,1106.36539095322,368.665390953223,1,106.365390953224,1,-393.634609046776,1,-1093.63460904678,1,1106.36539095322,0
-187,236.6315,14.772,141.367,-747.622,-0.495,173.934,-2.76400000000001,1106.36539095323,368.665390953235,1,106.365390953235,1,-393.634609046765,1,-1093.63460904677,1,1106.36539095323,-0
-186.5,235.69425,14.836,139.985,-745.893,-0.4955,173.9975,-2.76400000000001,1106.36539095323,368.665390953235,1,106.365390953235,1,-393.634609046765,1,-1093.63460904677,1,1106.36539095323,-0
-186,234.757,14.9,138.603,-744.164,-0.496,174.061,-2.73725000000002,1095.65798349738,357.957983497377,1,95.657983497377,1,-404.342016502623,1,1095.65798349738,-0,1095.65798349738,-0
-185.5,233.82775,14.96425,137.24775,-742.42775,-0.49625,174.12475,-2.71050000000002,1084.95057604152,347.250576041519,1,84.9505760415193,1,-415.049423958481,1,1084.95057604152,-0,1084.95057604152,-0
-185,232.8985,15.0285,135.8925,-740.6915,-0.4965,174.1885,-2.71050000000002,1084.95057604152,347.250576041519,1,84.9505760415193,1,-415.049423958481,1,1084.95057604152,-0,1084.95057604152,-0
-184.5,231.96925,15.09275,134.53725,-738.95525,-0.49675,174.25225,-2.7105,1084.95057604151,347.250576041508,1,84.9505760415079,1,-415.049423958492,1,1084.95057604151,0,1084.95057604151,0
-184,231.04,15.157,133.182,-737.219,-0.497,174.316,-2.67925,1072.44192247158,334.741922471577,1,72.4419224715773,1,-427.558077528423,1,1072.44192247158,-0,1072.44192247158,-0
-183.5,230.11875,15.2215,131.858,-735.47525,-0.49725,174.38,-2.648,1059.93326890165,322.233268901647,1,59.9332689016467,1,-440.066731098353,1,1059.93326890165,0,1059.93326890165,0
-183,229.1975,15.286,130.534,-733.7315,-0.4975,174.444,-2.64799999999997,1059.93326890164,322.233268901635,1,59.9332689016351,1,-440.066731098365,1,1059.93326890164,0,1059.93326890164,0
-182.5,228.27625,15.3505,129.21,-731.98775,-0.49775,174.508,-2.648,1059.93326890165,322.233268901647,1,59.9332689016467,1,-440.066731098353,1,1059.93326890165,0,1059.93326890165,0
-182,227.355,15.415,127.886,-730.244,-0.498,174.572,-2.611,1045.12302307485,307.423023074852,1,45.1230230748517,1,-454.876976925148,1,1045.12302307485,0,1045.12302307485,0
-181.5,226.442,15.48,126.599,-728.49325,-0.4985,174.63625,-2.574,1030.31277724805,292.612777248051,1,30.3127772480514,1,-469.687222751949,1,1030.31277724805,0,1030.31277724805,0
-181,225.529,15.545,125.312,-726.7425,-0.499,174.7005,-2.574,1030.31277724805,292.612777248051,1,30.3127772480514,1,-469.687222751949,1,1030.31277724805,0,1030.31277724805,0
-180.5,224.616,15.61,124.025,-724.99175,-0.4995,174.76475,-2.574,1030.31277724805,292.612777248051,1,30.3127772480514,1,-469.687222751949,1,1030.31277724805,0,1030.31277724805,0
-180,223.703,15.675,122.738,-723.241,-0.5,174.829,-2.53150000000001,1013.30100839295,275.60100839295,1,13.3010083929498,1,-486.69899160705,1,1013.30100839295,-0,1013.30100839295,-0
-179.5,222.79825,15.74,121.4935,-721.483,-0.50025,174.8935,-2.489,996.289239537842,258.589239537842,1,-3.7107604621574,1,-503.710760462157,1,996.289239537843,-0,996.289239537843,-0
-179,221.8935,15.805,120.249,-719.725,-0.5005,174.958,-2.48899999999999,996.289239537837,258.589239537837,1,-3.71076046216331,1,-503.710760462163,1,996.289239537837,-0,996.289239537837,-0
-178.5,220.98875,15.87,119.0045,-717.967,-0.50075,175.0225,-2.48899999999999,996.289239537837,258.589239537837,1,-3.71076046216331,1,-503.710760462163,1,996.289239537837,-0,996.289239537837,-0
-178,220.084,15.935,117.76,-716.209,-0.501,175.087,-2.43925,976.375463054511,238.675463054511,1,-23.6245369454887,1,-523.624536945489,1,976.375463054511,0,976.375463054511,0
-177.5,219.1875,16.00025,116.56525,-714.44375,-0.50125,175.15175,-2.38950000000001,956.461686571186,218.761686571186,1,-43.5383134288138,1,-543.538313428814,1,956.461686571186,0,956.461686571186,0
-177,218.291,16.0655,115.3705,-712.6785,-0.5015,175.2165,-2.38950000000001,956.461686571186,218.761686571186,1,-43.5383134288138,1,-543.538313428814,1,956.461686571186,0,956.461686571186,0
-176.5,217.3945,16.13075,114.17575,-710.91325,-0.50175,175.28125,-2.3895,956.461686571181,218.76168657118,1,-43.5383134288195,1,-543.538313428819,1,956.461686571181,0,956.461686571181,0
-176,216.498,16.196,112.981,-709.148,-0.502,175.346,-2.33175,933.345694773949,195.645694773949,1,-66.6543052260508,1,-566.654305226051,1,933.345694773949,0,933.345694773949,0
-175.5,215.60975,16.26175,111.844,-707.3755,-0.50225,175.41125,-2.274,910.229702976718,172.529702976718,1,-89.7702970232822,1,-589.770297023282,1,910.229702976718,-0,910.229702976718,-0
-175,214.7215,16.3275,110.707,-705.603,-0.5025,175.4765,-2.27399999999999,910.229702976712,172.529702976712,1,-89.7702970232879,1,-589.770297023288,1,910.229702976712,0,910.229702976712,-0
-174.5,213.83325,16.39325,109.57,-703.8305,-0.50275,175.54175,-2.27399999999999,910.229702976712,172.529702976712,1,-89.7702970232879,1,-589.770297023288,1,910.229702976712,0,910.229702976712,-0
-174,212.945,16.459,108.433,-702.058,-0.503,175.607,-2.20699999999999,883.411149722783,145.711149722783,1,-116.588850277217,1,-616.588850277217,1,883.411149722783,0,883.411149722783,0
-173.5,212.065,16.52475,107.363,-700.2785,-0.5035,175.67225,-2.14,856.592596468855,118.892596468855,1,-143.407403531145,1,-643.407403531145,1,856.592596468855,0,856.592596468855,-0
-173,211.185,16.5905,106.293,-698.499,-0.504,175.7375,-2.14000000000001,856.59259646886,118.89259646886,1,-143.40740353114,1,-643.40740353114,1,856.59259646886,0,856.59259646886,0
-172.5,210.305,16.65625,105.223,-696.7195,-0.5045,175.80275,-2.14,856.592596468855,118.892596468855,1,-143.407403531145,1,-643.407403531145,1,856.592596468855,0,856.592596468855,-0
-172,209.425,16.722,104.153,-694.94,-0.505,175.868,-2.06325,825.871343301103,88.1713433011033,1,-174.128656698897,1,-674.128656698897,1,825.871343301103,0,825.871343301103,-0
-171.5,208.55325,16.78825,103.15975,-693.15325,-0.50525,175.9335,-1.98649999999999,795.150090133352,57.4500901333519,1,-204.849909866648,1,-704.849909866648,1,795.150090133352,0,795.150090133352,-0
-171,207.6815,16.8545,102.1665,-691.3665,-0.5055,175.999,-1.98649999999999,795.150090133352,57.4500901333519,1,-204.849909866648,1,-704.849909866648,1,795.150090133352,0,795.150090133352,-0
-170.5,206.80975,16.92075,101.17325,-689.57975,-0.50575,176.0645,-1.98650000000001,795.150090133358,57.4500901333575,1,-204.849909866643,1,-704.849909866643,1,795.150090133357,0,795.150090133357,0
-170,205.938,16.987,100.18,-687.793,-0.506,176.13,-1.89825,759.825652451872,22.1256524518723,1,-240.174347548128,1,-740.174347548128,1,759.825652451872,0,759.825652451872,0
-169.5,205.075,17.05325,99.275,-685.99925,-0.50625,176.196,-1.81,724.501214770387,-13.1987852296128,1,-275.498785229613,1,724.501214770387,-0,724.501214770387,-0,724.501214770387,-0
-169,204.212,17.1195,98.37,-684.2055,-0.5065,176.262,-1.81,724.501214770387,-13.1987852296128,1,-275.498785229613,1,724.501214770387,-0,724.501214770387,-0,724.501214770387,-0
-168.5,203.349,17.18575,97.465,-682.41175,-0.50675,176.328,-1.81,724.501214770387,-13.1987852296128,1,-275.498785229613,1,724.501214770387,-0,724.501214770387,-0,724.501214770387,-0
-168,202.486,17.252,96.56,-680.618,-0.507,176.394,-1.71025,684.573592575168,-53.1264074248319,1,-315.426407424832,1,684.573592575168,0,684.573592575168,0,684.573592575168,0
-167.5,201.63125,17.31875,95.75475,-678.81725,-0.50725,176.46,-1.6105,644.645970379949,-93.0540296200506,1,-355.354029620051,1,644.645970379949,0,644.645970379949,0,644.645970379949,0
-167,200.7765,17.3855,94.9495,-677.0165,-0.5075,176.526,-1.6105,644.645970379949,-93.0540296200506,1,-355.354029620051,1,644.645970379949,0,644.645970379949,0,644.645970379949,0
-166.5,199.92175,17.45225,94.14425,-675.21575,-0.50775,176.592,-1.6105,644.645970379949,-93.0540296200506,1,-355.354029620051,1,644.645970379949,0,644.645970379949,0,644.645970379949,0
-166,199.067,17.519,93.339,-673.415,-0.508,176.658,-1.498,599.6148175282,-138.0851824718,1,-400.3851824718,1,599.6148175282,-0,599.6148175282,-0,599.6148175282,-0
-165.5,198.221,17.58575,92.64625,-671.607,-0.5085,176.7245,-1.38550000000001,554.583664676451,-183.116335323549,1,-445.416335323549,1,554.583664676451,0,554.583664676451,0,554.583664676451,0
-165,197.375,17.6525,91.9535,-669.799,-0.509,176.791,-1.38549999999999,554.583664676445,-183.116335323555,1,-445.416335323555,1,554.583664676445,0,554.583664676445,0,554.583664676445,0
-164.5,196.529,17.71925,91.26075,-667.991,-0.5095,176.8575,-1.38549999999999,554.583664676445,-183.116335323555,1,-445.416335323555,1,554.583664676445,0,554.583664676445,0,554.583664676445,0
-164,195.683,17.786,90.568,-666.183,-0.51,176.924,-1.26125,504.849258082405,-232.850741917595,1,-495.150741917595,1,504.849258082405,0,504.849258082405,0,504.849258082405,0
-163.5,194.8455,17.85325,89.9995,-664.36825,-0.51025,176.9905,-1.137,455.114851488359,-282.585148511641,1,455.114851488359,-0,455.114851488359,-0,455.114851488359,-0,455.114851488359,-0
-163,194.008,17.9205,89.431,-662.5535,-0.5105,177.057,-1.137,455.114851488359,-282.585148511641,1,455.114851488359,-0,455.114851488359,-0,455.114851488359,-0,455.114851488359,-0
-162.5,193.1705,17.98775,88.8625,-660.73875,-0.51075,177.1235,-1.137,455.114851488359,-282.585148511641,1,455.114851488359,-0,455.114851488359,-0,455.114851488359,-0,455.114851488359,-0
