along_km,terrain_candidate_band,flat_beam_candidate_band,nadir_only_flat_band,terrain_minus_flat_excess
61.5,38897.72064696275,183.54963267468008,0.0019734361795794787,38714.17101428807
62.0,38805.26515755473,183.5466515668534,0.0019734361795794787,38621.718505987876
62.5,38756.52327068815,183.53987246084515,0.0019734361795794787,38572.983398227305
63.0,38651.05423390527,183.54190596247278,0.0019734361795794787,38467.5123279428
63.5,38606.796857601,183.5466236930231,0.0019734361795794787,38423.25023390798
64.0,38565.91938897576,183.53470917109178,0.0019734361795794787,38382.384679804665
64.5,38436.91738143866,183.5522276120622,0.0019734361795794787,38253.3651538266
65.0,38483.133595015424,183.53952603899236,0.0019734361795794787,38299.59406897643
65.5,38460.978597277135,183.53631719865987,0.0019734361795794787,38277.442280078474
66.0,38422.75564750997,183.5363813026125,0.0019734361795794787,38239.21926620736
66.5,38458.59957967447,183.53889479192517,0.0019734361795794787,38275.06068488254
67.0,38417.06436368941,183.54494985334645,0.0019734361795794787,38233.51941383606
67.5,38389.75464394834,183.5407749204244,0.0019734361795794787,38206.21386902792
68.0,38339.73936890205,183.54000369359085,0.0019734361795794787,38156.19936520846
68.5,38225.57380722697,183.54363810636335,0.0019734361795794787,38042.030169120604
69.0,38096.179080617985,183.54455462643202,0.0019734361795794787,37912.634525991554
69.5,38085.44855464019,183.54241323867248,0.0019734361795794787,37901.906141401516
70.0,38021.046646981406,183.54243907560698,0.0019734361795794787,37837.5042079058
70.5,37988.034343705775,183.54563211230519,0.0019734361795794787,37804.48871159347
71.0,37929.06834819934,183.54494831018832,0.0019734361795794787,37745.52339988915
71.5,37822.62865593592,183.54827004828027,0.0019734361795794787,37639.08038588764
72.0,37716.88334579114,183.54316325930512,0.0019734361795794787,37533.340182531836
72.5,37690.20841025219,183.54313535252763,0.0019734361795794787,37506.665274899664
73.0,37641.74955513259,183.54045962236913,0.0019734361795794787,37458.209095510225
73.5,37646.95220636762,183.54726486833846,0.0019734361795794787,37463.404941499284
74.0,37663.40280717139,183.54378873783406,0.0019734361795794787,37479.859018433555
74.5,37662.076174207315,183.53951065002747,0.0019734361795794787,37478.53666355729
75.0,37632.47632779135,183.54326174147155,0.0019734361795794787,37448.93306604988
75.5,37579.944161939544,183.54166212049634,0.0019734361795794787,37396.40249981905
76.0,37532.703000040776,183.54334566579314,0.0019734361795794787,37349.159654374984
76.5,37472.515486777884,183.54356498417337,0.0019734361795794787,37288.97192179371
77.0,37458.134929457636,183.54529738185698,0.0019734361795794787,37274.58963207578
77.5,37339.930793981344,183.552672053413,0.0019734361795794787,37156.37812192793
78.0,37309.012422524975,183.5420518648978,0.0019734361795794787,37125.47037066008
78.5,37274.83658466361,183.5485963452896,0.0019734361795794787,37091.28798831832
79.0,37258.53065200209,183.54264402163864,0.0019734361795794787,37074.98800798045
79.5,37243.57684124186,183.54687265941786,0.0019734361795794787,37060.02996858244
80.0,37243.64502233489,183.53570859983466,0.0019734361795794787,37060.109313735054
80.5,37232.43063014408,183.547127228037,0.0019734361795794787,37048.88350291605
81.0,37255.50653535127,183.54078410326676,0.0019734361795794787,37071.965751248004
81.5,37230.622780841244,183.539815214266,0.0019734361795794787,37047.08296562698
82.0,37121.99798803414,183.54145078588337,0.0019734361795794787,36938.45653724826
82.5,37104.726245259706,183.54455379470468,0.0019734361795794787,36921.181691465004
83.0,36982.41242961783,183.54340464786398,0.0019734361795794787,36798.869024969965
83.5,36854.48916601913,183.53830740185538,0.0019734361795794787,36670.950858617274
84.0,36923.890214023835,183.54388788230008,0.0019734361795794787,36740.34632614154
84.5,36816.54148335076,183.5411188624419,0.0019734361795794787,36633.00036448832
85.0,36813.42883031044,183.53908185889165,0.0019734361795794787,36629.88974845155
85.5,36808.8173585281,183.5419342757888,0.0019734361795794787,36625.27542425231
86.0,36770.069584460645,183.54387433996223,0.0019734361795794787,36586.52571012068
86.5,36736.77083690985,183.54334973093174,0.0019734361795794787,36553.22748717891
87.0,36706.68737643203,183.54446205234345,0.0019734361795794787,36523.14291437969
87.5,36680.27309967804,183.54437746152138,0.0019734361795794787,36496.72872221652
88.0,36691.300371014135,183.547091731036,0.0019734361795794787,36507.7532792831
88.5,36695.674024386186,183.54539500339197,0.0019734361795794787,36512.128629382794
89.0,36744.753545986714,183.54145128969932,0.0019734361795794787,36561.21209469702
89.5,36672.133316219326,183.5445390623805,0.0019734361795794787,36488.58877715695
90.0,36655.02664454837,183.53499678199336,0.0019734361795794787,36471.49164776638
90.5,36621.88480688368,183.54116376731315,0.0019734361795794787,36438.34364311637
91.0,36587.67539473085,183.54032477577485,0.0019734361795794787,36404.13506995508
91.5,36568.670089200015,183.53878072895597,0.0019734361795794787,36385.13130847106
92.0,36549.8716984086,183.53793486397848,0.0019734361795794787,36366.33376354462
92.5,36565.93124099756,183.54054076481063,0.0019734361795794787,36382.39070023275
93.0,36395.28463901807,183.54684776804643,0.0019734361795794787,36211.73779125002
93.5,36219.68777262692,182.8826888291035,0.0019734361795794787,36036.80508379782
94.0,36053.247735101984,181.47676181292957,0.0019734361795794787,35871.77097328906
94.5,35662.15524702079,179.57711595421083,0.0019734361795794787,35482.57813106658
95.0,35100.67031477482,177.31155679842885,0.0019734361795794787,34923.35875797639
95.5,34560.78138973972,174.649966727727,0.0019734361795794787,34386.131423012
96.0,33984.583353083646,171.7531697453146,0.0019734361795794787,33812.83018333833
96.5,33373.08203035661,168.58243476983827,0.0019734361795794787,33204.49959558677
97.0,32700.071563212285,165.1538747358218,0.0019734361795794787,32534.917688476464
97.5,32036.84731158928,161.5865341178844,0.0019734361795794787,31875.260777471398
98.0,31349.28829570218,157.75660019369394,0.0019734361795794787,31191.531695508485
98.5,30728.33194583816,154.87247128586495,0.0019734361795794787,30573.459474552295
99.0,30331.731441030235,152.24701459756767,0.0019734361795794787,30179.484426432668
99.5,29886.632186704443,149.87836211933575,0.0019734361795794787,29736.753824585106
100.0,29448.519987695225,147.74808471303274,0.0019734361795794787,29300.771902982193
100.5,29136.905147142465,145.74713527800176,0.0019734361795794787,28991.158011864463
101.0,28748.128393622337,143.8801999963285,0.0019734361795794787,28604.24819362601
101.5,28353.64488132639,142.0153906069107,0.0019734361795794787,28211.62949071948
102.0,27985.5406047103,140.2608217134424,0.0019734361795794787,27845.279782996855
102.5,27587.29445709771,138.51757659306114,0.0019734361795794787,27448.776880504647
103.0,27302.082694140485,136.88790551656513,0.0019734361795794787,27165.19478862392
103.5,26993.14257913183,135.2655852850356,0.0019734361795794787,26857.876993846792
104.0,26608.255197195875,133.65425845814917,0.0019734361795794787,26474.600938737727
104.5,26193.780675512902,132.14745430944205,0.0019734361795794787,26061.63322120346
105.0,25825.483734097284,130.6608175434036,0.0019734361795794787,25694.82291655388
105.5,25400.312410623676,129.16545366844528,0.0019734361795794787,25271.146956955232
106.0,24949.136490863424,127.7894778859249,0.0019734361795794787,24821.347012977498
