column,usrdr_deep_energy_db,usrdr_robust_z,rdr_complex_deep_energy_db,rdr_complex_robust_z,edr_raw_deep_energy_db,combined_low_signal_score,low_signal_flag
118,-39.95952606201172,-0.7298240065574646,8.921680450439453,-0.8383232951164246,11.97916316986084,-0.7840736508369446,False
119,-39.402835845947266,-0.5570055842399597,9.339347839355469,-0.7473979592323303,12.093087196350098,-0.652201771736145,False
120,-39.563297271728516,-0.6068190932273865,8.775123596191406,-0.8702284097671509,11.956868171691895,-0.7385237216949463,False
121,-39.779090881347656,-0.673809826374054,9.19987964630127,-0.7777599096298218,12.021316528320312,-0.7257848978042603,False
122,-39.87952423095703,-0.7049883008003235,9.214753150939941,-0.7745220065116882,11.988685607910156,-0.7397551536560059,False
123,-39.41329574584961,-0.5602527260780334,9.403365135192871,-0.7334615588188171,12.020269393920898,-0.6468571424484253,False
124,-39.81684112548828,-0.6855289936065674,10.114850997924805,-0.5785725712776184,12.154545783996582,-0.6320507526397705,False
125,-40.09352111816406,-0.7714213132858276,10.385865211486816,-0.5195733308792114,11.935527801513672,-0.6454973220825195,False
126,-39.92820358276367,-0.7201002836227417,8.325154304504395,-0.9681857824325562,11.936595916748047,-0.8441430330276489,False
127,-39.952205657958984,-0.7275514602661133,9.132680892944336,-0.7923889756202698,12.020269393920898,-0.7599701881408691,False
128,-39.765132904052734,-0.6694767475128174,9.599584579467773,-0.6907449960708618,12.030746459960938,-0.6801108717918396,False
129,-40.00514221191406,-0.7439850568771362,9.031495094299316,-0.8144168853759766,11.978105545043945,-0.7792009711265564,False
130,-39.383445739746094,-0.550986111164093,11.118335723876953,-0.36011603474617004,11.999238967895508,-0.4555510878562927,False
131,-40.14503479003906,-0.7874131798744202,9.714533805847168,-0.6657207608222961,11.942367553710938,-0.7265669703483582,False
132,-39.78995132446289,-0.6771813631057739,9.544600486755371,-0.7027149200439453,11.881710052490234,-0.6899481415748596,False
133,-40.072147369384766,-0.7647860646247864,9.308162689208984,-0.7541869282722473,12.031791687011719,-0.7594864964485168,False
134,-40.0308952331543,-0.7519797682762146,9.426579475402832,-0.7284078598022461,12.031791687011719,-0.7401938438415527,False
135,-39.703121185302734,-0.6502258777618408,10.16430377960205,-0.5678067803382874,12.062029838562012,-0.6090162992477417,False
136,-40.08578109741211,-0.7690184712409973,8.670193672180176,-0.8930714726448059,12.051628112792969,-0.8310449719429016,False
