x_km,z_km,dz_dx,dz_dt_km_s,range_km,dR_dt_m_s,vhf_doppler_hz,hf_doppler_hz
-35.800,401.424044,-0.079555556,-0.318222222,403.791906,-670.994261,268.397704,40.299956
-35.600,401.408178,-0.079111111,-0.316444444,403.758449,-667.288545,266.915418,40.077390
-35.400,401.392400,-0.078666667,-0.314666667,403.725177,-663.582119,265.432847,39.854782
-35.200,401.376711,-0.078222222,-0.312888889,403.692091,-659.874987,263.949995,39.632131
-35.000,401.361111,-0.077777778,-0.311111111,403.659190,-656.167153,262.466861,39.409439
-34.800,401.345600,-0.077333333,-0.309333333,403.626474,-652.458620,260.983448,39.186704
-34.600,401.330178,-0.076888889,-0.307555556,403.593944,-648.749392,259.499757,38.963927
-34.400,401.314844,-0.076444444,-0.305777778,403.561599,-645.039473,258.015789,38.741109
-34.200,401.299600,-0.076000000,-0.304000000,403.529440,-641.328867,256.531547,38.518250
-34.000,401.284444,-0.075555556,-0.302222222,403.497466,-637.617576,255.047031,38.295350
-33.800,401.269378,-0.075111111,-0.300444444,403.465678,-633.905606,253.562242,38.072409
-33.600,401.254400,-0.074666667,-0.298666667,403.434076,-630.192959,252.077184,37.849427
-33.400,401.239511,-0.074222222,-0.296888889,403.402659,-626.479640,250.591856,37.626405
-33.200,401.224711,-0.073777778,-0.295111111,403.371428,-622.765652,249.106261,37.403342
-33.000,401.210000,-0.073333333,-0.293333333,403.340382,-619.050999,247.620400,37.180240
-32.800,401.195378,-0.072888889,-0.291555556,403.309523,-615.335685,246.134274,36.957098
-32.600,401.180844,-0.072444444,-0.289777778,403.278849,-611.619712,244.647885,36.733917
-32.400,401.166400,-0.072000000,-0.288000000,403.248361,-607.903087,243.161235,36.510696
-32.200,401.152044,-0.071555556,-0.286222222,403.218059,-604.185811,241.674324,36.287436
-32.000,401.137778,-0.071111111,-0.284444444,403.187942,-600.467889,240.187155,36.064137
-31.800,401.123600,-0.070666667,-0.282666667,403.158012,-596.749324,238.699730,35.840800
-31.600,401.109511,-0.070222222,-0.280888889,403.128267,-593.030120,237.212048,35.617425
-31.400,401.095511,-0.069777778,-0.279111111,403.098709,-589.310282,235.724113,35.394011
-31.200,401.081600,-0.069333333,-0.277333333,403.069336,-585.589813,234.235925,35.170559
-31.000,401.067778,-0.068888889,-0.275555556,403.040150,-581.868716,232.747486,34.947070
-30.800,401.054044,-0.068444444,-0.273777778,403.011149,-578.146995,231.258798,34.723543
-30.600,401.040400,-0.068000000,-0.272000000,402.982335,-574.424655,229.769862,34.499979
-30.400,401.026844,-0.067555556,-0.270222222,402.953707,-570.701699,228.280679,34.276378
-30.200,401.013378,-0.067111111,-0.268444444,402.925265,-566.978130,226.791252,34.052741
-30.000,401.000000,-0.066666667,-0.266666667,402.897009,-563.253954,225.301581,33.829066
-29.800,400.986711,-0.066222222,-0.264888889,402.868940,-559.529172,223.811669,33.605356
-29.600,400.973511,-0.065777778,-0.263111111,402.841056,-555.803790,222.321516,33.381609
-29.400,400.960400,-0.065333333,-0.261333333,402.813359,-552.077812,220.831125,33.157827
-29.200,400.947378,-0.064888889,-0.259555556,402.785848,-548.351240,219.340496,32.934008
-29.000,400.934444,-0.064444444,-0.257777778,402.758524,-544.624079,217.849631,32.710155
-28.800,400.921600,-0.064000000,-0.256000000,402.731386,-540.896332,216.358533,32.486266
-28.600,400.908844,-0.063555556,-0.254222222,402.704434,-537.168004,214.867202,32.262343
-28.400,400.896178,-0.063111111,-0.252444444,402.677669,-533.439098,213.375639,32.038384
-28.200,400.883600,-0.062666667,-0.250666667,402.651091,-529.709619,211.883848,31.814392
-28.000,400.871111,-0.062222222,-0.248888889,402.624698,-525.979569,210.391828,31.590365
-27.800,400.858711,-0.061777778,-0.247111111,402.598493,-522.248954,208.899581,31.366304
-27.600,400.846400,-0.061333333,-0.245333333,402.572473,-518.517776,207.407110,31.142209
-27.400,400.834178,-0.060888889,-0.243555556,402.546641,-514.786039,205.914416,30.918080
-27.200,400.822044,-0.060444444,-0.241777778,402.520995,-511.053748,204.421499,30.693919
-27.000,400.810000,-0.060000000,-0.240000000,402.495536,-507.320907,202.928363,30.469724
-26.800,400.798044,-0.059555556,-0.238222222,402.470263,-503.587518,201.435007,30.245497
-26.600,400.786178,-0.059111111,-0.236444444,402.445177,-499.853587,199.941435,30.021236
-26.400,400.774400,-0.058666667,-0.234666667,402.420277,-496.119117,198.447647,29.796944
-26.200,400.762711,-0.058222222,-0.232888889,402.395565,-492.384111,196.953644,29.572619
-26.000,400.751111,-0.057777778,-0.231111111,402.371039,-488.648574,195.459430,29.348263
-25.800,400.739600,-0.057333333,-0.229333333,402.346700,-484.912510,193.965004,29.123874
-25.600,400.728178,-0.056888889,-0.227555556,402.322548,-481.175923,192.470369,28.899455
-25.400,400.716844,-0.056444444,-0.225777778,402.298582,-477.438815,190.975526,28.675004
-25.200,400.705600,-0.056000000,-0.224000000,402.274804,-473.701193,189.480477,28.450522
-25.000,400.694444,-0.055555556,-0.222222222,402.251212,-469.963058,187.985223,28.226009
-24.800,400.683378,-0.055111111,-0.220444444,402.227808,-466.224416,186.489766,28.001466
-24.600,400.672400,-0.054666667,-0.218666667,402.204590,-462.485269,184.994108,27.776893
-24.400,400.661511,-0.054222222,-0.216888889,402.181559,-458.745623,183.498249,27.552290
-24.200,400.650711,-0.053777778,-0.215111111,402.158715,-455.005481,182.002192,27.327657
-24.000,400.640000,-0.053333333,-0.213333333,402.136059,-451.264846,180.505939,27.102994
-23.800,400.629378,-0.052888889,-0.211555556,402.113589,-447.523724,179.009489,26.878302
-23.600,400.618844,-0.052444444,-0.209777778,402.091306,-443.782117,177.512847,26.653581
-23.400,400.608400,-0.052000000,-0.208000000,402.069211,-440.040029,176.016012,26.428831
-23.200,400.598044,-0.051555556,-0.206222222,402.047302,-436.297465,174.518986,26.204052
-23.000,400.587778,-0.051111111,-0.204444444,402.025581,-432.554429,173.021772,25.979245
-22.800,400.577600,-0.050666667,-0.202666667,402.004047,-428.810924,171.524370,25.754410
-22.600,400.567511,-0.050222222,-0.200888889,401.982700,-425.066955,170.026782,25.529547
-22.400,400.557511,-0.049777778,-0.199111111,401.961540,-421.322525,168.529010,25.304656
-22.200,400.547600,-0.049333333,-0.197333333,401.940568,-417.577639,167.031055,25.079738
-22.000,400.537778,-0.048888889,-0.195555556,401.919782,-413.832299,165.532920,24.854793
-21.800,400.528044,-0.048444444,-0.193777778,401.899184,-410.086511,164.034605,24.629820
-21.600,400.518400,-0.048000000,-0.192000000,401.878774,-406.340278,162.536111,24.404822
-21.400,400.508844,-0.047555556,-0.190222222,401.858550,-402.593605,161.037442,24.179796
-21.200,400.499378,-0.047111111,-0.188444444,401.838514,-398.846494,159.538598,23.954744
-21.000,400.490000,-0.046666667,-0.186666667,401.818666,-395.098951,158.039580,23.729667
-20.800,400.480711,-0.046222222,-0.184888889,401.799004,-391.350979,156.540392,23.504563
-20.600,400.471511,-0.045777778,-0.183111111,401.779531,-387.602582,155.041033,23.279434
-20.400,400.462400,-0.045333333,-0.181333333,401.760244,-383.853764,153.541506,23.054280
