position_km,normal_altitude_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,normal_radial_velocity_m_s,parabolic_radial_velocity_m_s,normal_vhf_doppler_hz,parabolic_vhf_doppler_hz,normal_hf_doppler_hz,parabolic_hf_doppler_hz
-8.000,400.000000,400.071111,-0.071111,-79.828304,-150.772723,31.931322,60.309089,4.794493,9.055419
-7.800,400.000000,400.067600,-0.069333,-77.833362,-147.005527,31.133345,58.802211,4.674676,8.829161
-7.600,400.000000,400.064178,-0.067556,-75.838362,-143.238170,30.335345,57.295268,4.554857,8.602893
-7.400,400.000000,400.060844,-0.065778,-73.843305,-139.470657,29.537322,55.788263,4.435033,8.376616
-7.200,400.000000,400.057600,-0.064000,-71.848192,-135.702990,28.739277,54.281196,4.315207,8.150330
-7.000,400.000000,400.054444,-0.062222,-69.853027,-131.935175,27.941211,52.774070,4.195377,7.924035
-6.800,400.000000,400.051378,-0.060444,-67.857809,-128.167215,27.143123,51.266886,4.075544,7.697731
-6.600,400.000000,400.048400,-0.058667,-65.862540,-124.399114,26.345016,49.759646,3.955708,7.471418
-6.400,400.000000,400.045511,-0.056889,-63.867222,-120.630878,25.546889,48.252351,3.835869,7.245098
-6.200,400.000000,400.042711,-0.055111,-61.871857,-116.862509,24.748743,46.745003,3.716027,7.018769
-6.000,400.000000,400.040000,-0.053333,-59.876445,-113.094012,23.950578,45.237605,3.596183,6.792433
-5.800,400.000000,400.037378,-0.051556,-57.880989,-109.325390,23.152396,43.730156,3.476336,6.566090
-5.600,400.000000,400.034844,-0.049778,-55.885489,-105.556649,22.354196,42.222660,3.356486,6.339739
-5.400,400.000000,400.032400,-0.048000,-53.889948,-101.787793,21.555979,40.715117,3.236634,6.113381
-5.200,400.000000,400.030044,-0.046222,-51.894366,-98.018824,20.757747,39.207530,3.116779,5.887016
-5.000,400.000000,400.027778,-0.044444,-49.898746,-94.249748,19.959498,37.699899,2.996922,5.660646
-4.800,400.000000,400.025600,-0.042667,-47.903088,-90.480569,19.161235,36.192228,2.877062,5.434268
-4.600,400.000000,400.023511,-0.040889,-45.907395,-86.711290,18.362958,34.684516,2.757201,5.207885
-4.400,400.000000,400.021511,-0.039111,-43.911667,-82.941917,17.564667,33.176767,2.637337,4.981497
-4.200,400.000000,400.019600,-0.037333,-41.915907,-79.172452,16.766363,31.668981,2.517472,4.755102
-4.000,400.000000,400.017778,-0.035556,-39.920115,-75.402901,15.968046,30.161160,2.397605,4.528703
-3.800,400.000000,400.016044,-0.033778,-37.924293,-71.633267,15.169717,28.653307,2.277735,4.302298
-3.600,400.000000,400.014400,-0.032000,-35.928443,-67.863554,14.371377,27.145422,2.157864,4.075889
-3.400,400.000000,400.012844,-0.030222,-33.932567,-64.093767,13.573027,25.637507,2.037992,3.849475
-3.200,400.000000,400.011378,-0.028444,-31.936665,-60.323909,12.774666,24.129564,1.918118,3.623058
-3.000,400.000000,400.010000,-0.026667,-29.940739,-56.553985,11.976295,22.621594,1.798243,3.396636
-2.800,400.000000,400.008711,-0.024889,-27.944790,-52.784000,11.177916,21.113600,1.678366,3.170210
-2.600,400.000000,400.007511,-0.023111,-25.948821,-49.013956,10.379528,19.605582,1.558488,2.943781
-2.400,400.000000,400.006400,-0.021333,-23.952832,-45.243859,9.581133,18.097543,1.438609,2.717349
-2.200,400.000000,400.005378,-0.019556,-21.956826,-41.473712,8.782730,16.589485,1.318728,2.490914
-2.000,400.000000,400.004444,-0.017778,-19.960803,-37.703519,7.984321,15.081408,1.198847,2.264476
-1.800,400.000000,400.003600,-0.016000,-17.964765,-33.933285,7.185906,13.573314,1.078965,2.038035
-1.600,400.000000,400.002844,-0.014222,-15.968714,-30.163014,6.387486,12.065205,0.959082,1.811592
-1.400,400.000000,400.002178,-0.012444,-13.972651,-26.392709,5.589060,10.557084,0.839198,1.585148
-1.200,400.000000,400.001600,-0.010667,-11.976577,-22.622376,4.790631,9.048950,0.719314,1.358701
-1.000,400.000000,400.001111,-0.008889,-9.980495,-18.852018,3.992198,7.540807,0.599429,1.132253
-0.800,400.000000,400.000711,-0.007111,-7.984405,-15.081639,3.193762,6.032656,0.479544,0.905804
-0.600,400.000000,400.000400,-0.005333,-5.988309,-11.311244,2.395324,4.524498,0.359658,0.679354
-0.400,400.000000,400.000178,-0.003556,-3.992208,-7.540836,1.596883,3.016334,0.239772,0.452903
-0.200,400.000000,400.000044,-0.001778,-1.996105,-3.770420,0.798442,1.508168,0.119886,0.226452
0.000,400.000000,400.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000
0.200,400.000000,400.000044,0.001778,1.996105,3.770420,-0.798442,-1.508168,-0.119886,-0.226452
0.400,400.000000,400.000178,0.003556,3.992208,7.540836,-1.596883,-3.016334,-0.239772,-0.452903
0.600,400.000000,400.000400,0.005333,5.988309,11.311244,-2.395324,-4.524498,-0.359658,-0.679354
0.800,400.000000,400.000711,0.007111,7.984405,15.081639,-3.193762,-6.032656,-0.479544,-0.905804
1.000,400.000000,400.001111,0.008889,9.980495,18.852018,-3.992198,-7.540807,-0.599429,-1.132253
1.200,400.000000,400.001600,0.010667,11.976577,22.622376,-4.790631,-9.048950,-0.719314,-1.358701
1.400,400.000000,400.002178,0.012444,13.972651,26.392709,-5.589060,-10.557084,-0.839198,-1.585148
1.600,400.000000,400.002844,0.014222,15.968714,30.163014,-6.387486,-12.065205,-0.959082,-1.811592
1.800,400.000000,400.003600,0.016000,17.964765,33.933285,-7.185906,-13.573314,-1.078965,-2.038035
2.000,400.000000,400.004444,0.017778,19.960803,37.703519,-7.984321,-15.081408,-1.198847,-2.264476
2.200,400.000000,400.005378,0.019556,21.956826,41.473712,-8.782730,-16.589485,-1.318728,-2.490914
2.400,400.000000,400.006400,0.021333,23.952832,45.243859,-9.581133,-18.097543,-1.438609,-2.717349
2.600,400.000000,400.007511,0.023111,25.948821,49.013956,-10.379528,-19.605582,-1.558488,-2.943781
2.800,400.000000,400.008711,0.024889,27.944790,52.784000,-11.177916,-21.113600,-1.678366,-3.170210
3.000,400.000000,400.010000,0.026667,29.940739,56.553985,-11.976295,-22.621594,-1.798243,-3.396636
3.200,400.000000,400.011378,0.028444,31.936665,60.323909,-12.774666,-24.129564,-1.918118,-3.623058
3.400,400.000000,400.012844,0.030222,33.932567,64.093767,-13.573027,-25.637507,-2.037992,-3.849475
3.600,400.000000,400.014400,0.032000,35.928443,67.863554,-14.371377,-27.145422,-2.157864,-4.075889
3.800,400.000000,400.016044,0.033778,37.924293,71.633267,-15.169717,-28.653307,-2.277735,-4.302298
4.000,400.000000,400.017778,0.035556,39.920115,75.402901,-15.968046,-30.161160,-2.397605,-4.528703
4.200,400.000000,400.019600,0.037333,41.915907,79.172452,-16.766363,-31.668981,-2.517472,-4.755102
4.400,400.000000,400.021511,0.039111,43.911667,82.941917,-17.564667,-33.176767,-2.637337,-4.981497
4.600,400.000000,400.023511,0.040889,45.907395,86.711290,-18.362958,-34.684516,-2.757201,-5.207885
4.800,400.000000,400.025600,0.042667,47.903088,90.480569,-19.161235,-36.192228,-2.877062,-5.434268
5.000,400.000000,400.027778,0.044444,49.898746,94.249748,-19.959498,-37.699899,-2.996922,-5.660646
5.200,400.000000,400.030044,0.046222,51.894366,98.018824,-20.757747,-39.207530,-3.116779,-5.887016
5.400,400.000000,400.032400,0.048000,53.889948,101.787793,-21.555979,-40.715117,-3.236634,-6.113381
