x_km,shell_mode,scenario,band,frequency_mhz,band_role,ocean_depth_m,surface_height_m,surface_slope_deg,lens_strength,layer_count,layer_source_statuses,layer_sources,ocean_in_band_window,ocean_snr_margin_db,false_snr_margin_db,false_minus_ocean_db,false_depth_m,false_label,false_source_status,surface_clutter_snr_margin_db,surface_clutter_minus_ocean_db,surface_clutter_apparent_depth_m,surface_clutter_label,surface_clutter_source_status,surface_clutter_detected,surface_clutter_confuses_shallow_window,surface_roughness_index,classification,inferred_depth_m,inferred_depth_error_m,thermal_mode,thin_layer_solver
-60.0,thin_3km_reason_mode,rough_surface_clutter,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,9.995815162297399,-999.0,-1008.9958151622974,,none,none,3.6981879074003086,-6.29762725489709,2283.854028327164,off-nadir surface clutter equivalent-depth echo,Paper anchored as a VHF clutter mechanism; amplitude is sensitivity-modeled,True,False,0.6005069911702977,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,rough_surface_clutter,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,28.150898264748733,-999.0,-1027.1508982647488,,none,none,-1.3018120925996914,,2283.854028327164,off-nadir surface clutter equivalent-depth echo,Paper anchored as a VHF clutter mechanism; amplitude is sensitivity-modeled,False,False,0.6005069911702977,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,complex_with_clutter,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,11.246765506030549,15.25666358030731,4.0098980742767605,2248.8890278468193,base paper-bracketed stacked dirty layer; top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,-999.0,,,none,none,False,False,0.0,false layer stronger,2248.8890278468193,-643.8560543641306,dirty_convective,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,complex_with_clutter,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,-10.618896855211183,-5.220080329198202,5.398816526012981,2160.8890278468193,top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,5.409632832235657,16.02852968744684,2283.854028327164,off-nadir surface clutter equivalent-depth echo,Paper anchored as a VHF clutter mechanism; amplitude is sensitivity-modeled,True,True,0.6005069911702977,surface clutter in shallow window,2283.854028327164,-608.8910538837858,dirty_convective,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,complex_with_clutter,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,7,Directly paper anchored epsilon and layer thicknesses; Sensitivity bracket from paper-supported material families,"Blankenship et al. 2024, REASON; Blankenship et al. 2024, REASON; Pettinelli et al. 2015 review; Lalich et al. 2021 / Mars analog",True,7.536186247240149,12.935002773253135,5.398816526012986,2160.8890278468193,top paper-bracketed stacked dirty layer,Sensitivity bracket from paper-supported material families,0.4096328322356566,-7.1265534150044925,2283.854028327164,off-nadir surface clutter equivalent-depth echo,Paper anchored as a VHF clutter mechanism; amplitude is sensitivity-modeled,True,False,0.6005069911702977,false layer stronger,2160.8890278468193,-731.8560543641306,dirty_convective,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,clean_ice_control,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,19.261375334784343,-999.0,-1018.2613753347844,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,cold_conductive,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,clean_ice_control,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,10.08162232100581,-999.0,-1009.0816223210059,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,cold_conductive,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,clean_ice_control,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,0,none,none,True,28.23670542345714,-999.0,-1027.2367054234571,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,cold_conductive,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,salt_layers_reason,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,1,Directly paper anchored epsilon and layer thicknesses,"Blankenship et al. 2024, REASON",True,19.260375334784342,3.149352965734949,-16.111022369049394,1447.4094829716678,base 1 m ocean-injected hydrated salt layer; top 1 m ocean-injected hydrated salt layer,Directly paper anchored epsilon and layer thicknesses,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,cold_conductive,normal_incidence_transfer_matrix
-59.5,thin_3km_reason_mode,salt_layers_reason,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2894.8189659433356,110.69606493723512,-0.36864692791289094,0.0017423102885695018,1,Directly paper anchored epsilon and layer thicknesses,"Blankenship et al. 2024, REASON",True,10.079040332108338,-6.722584209951171,-16.801624542059507,1447.4094829716678,base 1 m ocean-injected hydrated salt layer; top 1 m ocean-injected hydrated salt layer,Directly paper anchored epsilon and layer thicknesses,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2894.8189659433356,0.0,cold_conductive,normal_incidence_transfer_matrix
