shell_mode,scenario,band,points,clear_ocean_pct,ambiguous_pct,false_stronger_pct,hidden_false_visible_pct,internal_feature_only_pct,surface_clutter_pct,outside_band_depth_window_pct,weak_no_deep_detection_pct,deep_false_risk_pct,surface_clutter_detected_pct,median_surface_clutter_snr_margin_db,max_surface_clutter_minus_ocean_db,median_ocean_snr_margin_db,min_ocean_snr_margin_db,max_false_minus_ocean_db,max_abs_inferred_depth_error_m,median_layer_count
thin_3km_reason_mode,complex_with_clutter,VHF_60MHz_shallow,241,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,6.842340625981564,116.9831254862299,-42.57606221871823,-109.48771538839986,114.76858655603716,2077.91619340209,10.0
thin_3km_reason_mode,near_surface_brine,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.749810510431352,12.028109000648513,0.24728456993938686,0.0,1.0
thin_3km_reason_mode,near_surface_brine,VHF_60MHz_full_depth_lowDR,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,13.989164527595527,9.54491679953442,13.803368007035822,0.0,1.0
thin_3km_reason_mode,near_surface_brine,VHF_60MHz_shallow,241,21.991701244813278,0.0,0.0,0.0,0.0,0.0,0.0,78.00829875518673,0.0,0.0,,,-4.165918574855804,-8.61016630291691,13.803368007035822,0.0,1.0
thin_3km_reason_mode,rough_surface_clutter,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.211941552283804,19.09382844932889,-1018.0938284493288,0.0,0.0
thin_3km_reason_mode,rough_surface_clutter,VHF_60MHz_full_depth_lowDR,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.96265560165975,-0.08401046791567168,-22.659358187572046,28.103780069773165,27.778823708217402,-1026.7788237082175,0.0,0.0
thin_3km_reason_mode,rough_surface_clutter,VHF_60MHz_shallow,241,78.42323651452283,0.0,0.0,0.0,0.0,21.57676348547718,0.0,0.0,0.0,98.7551867219917,4.915989532084328,0.49572491487928616,9.948696967321833,9.623740605766068,-1008.6237406057661,1903.8866413882947,0.0
thin_3km_reason_mode,salt_layers_reason,HF_9MHz_full_depth,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,19.210941552283806,19.09282844932889,-16.080457699093177,0.0,1.0
thin_3km_reason_mode,salt_layers_reason,VHF_60MHz_full_depth_lowDR,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,28.101198080875697,27.776241719319927,-16.722706903577667,0.0,1.0
thin_3km_reason_mode,salt_layers_reason,VHF_60MHz_shallow,241,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,9.946114978424362,9.621158616868597,-16.722706903577674,0.0,1.0
