Column,SpacecraftLon,SpacecraftLat,SpacecraftHgt,NadirHgt,NadirLine,NadirAreoidRad,NadirEllipsoidRad,FirstLon,FirstLat,FirstHgt,FirstLine
3671,8.588588,81.094770,317274.231,-1595,2431,3378637,3376685.976,7.931678,81.129553,-1445.111,2416
3672,8.573662,81.087408,317273.088,-1594,2430,3378637,3376686.773,7.931520,81.121510,-1439.978,2415
3673,8.558659,81.079996,317271.935,-1594,2431,3378638,3376687.576,7.608604,81.128300,-1352.579,2413
3674,8.543779,81.072633,317270.790,-1598,2431,3378639,3376688.374,7.634450,81.119082,-1354.240,2411
3675,8.528823,81.065219,317269.635,-1589,2430,3378640,3376689.179,7.688676,81.108503,-1360.494,2409
3676,8.513991,81.057855,317268.486,-1579,2428,3378640,3376689.979,7.680182,81.100854,-1350.765,2407
3677,8.499082,81.050441,317267.329,-1574,2427,3378640,3376690.785,7.725701,81.090662,-1355.646,2405
3678,8.484296,81.043076,317266.178,-1562,2425,3378642,3376691.586,7.720034,81.082882,-1346.600,2403
3679,8.469433,81.035660,317265.018,-1555,2423,3378642,3376692.393,7.813684,81.070441,-1360.949,2401
3680,8.454594,81.028244,317263.857,-1542,2421,3378643,3376693.201,7.810691,81.062481,-1355.368,2400
3681,8.439878,81.020877,317262.703,-1534,2420,3378644,3376694.005,7.813466,81.054305,-1352.701,2399
3682,8.425085,81.013460,317261.540,-1511,2416,3378645,3376694.814,7.858592,81.044095,-1358.145,2398
3683,8.410415,81.006092,317260.383,-1501,2414,3378645,3376695.619,7.858488,81.036052,-1356.687,2397
3684,8.395668,80.998674,317259.217,-1475,2409,3378645,3376696.430,7.852637,81.028224,-1356.652,2397
3685,8.381044,80.991305,317258.058,-1465,2407,3378647,3376697.236,7.900502,81.017926,-1366.997,2397
3686,8.366343,80.983885,317256.889,-1456,2406,3378647,3376698.048,7.835418,81.012882,-1358.103,2396
3687,8.351764,80.976515,317255.728,-1442,2403,3378647,3376698.856,7.829695,81.005103,-1357.175,2396
3688,8.337109,80.969095,317254.557,-1435,2402,3378649,3376699.670,7.835146,80.996745,-1357.977,2396
3689,8.322575,80.961723,317253.393,-1430,2401,3378649,3376700.478,7.798485,80.990420,-1351.225,2395
3690,8.307966,80.954302,317252.219,-1430,2401,3378650,3376701.294,7.803953,80.982063,-1352.585,2395
3691,8.293477,80.946929,317251.053,-1433,2401,3378651,3376702.104,7.851622,80.971770,-1360.824,2394
3692,8.278913,80.939507,317249.877,-1434,2402,3378652,3376702.920,7.851419,80.963676,-1361.601,2394
3693,8.264470,80.932134,317248.708,-1433,2402,3378652,3376703.732,7.828891,80.956692,-1361.479,2394
3694,8.249951,80.924710,317247.530,-1433,2401,3378653,3376704.550,7.837107,80.948201,-1364.412,2394
3695,8.235552,80.917335,317246.359,-1432,2401,3378654,3376705.363,7.828615,80.940555,-1365.697,2394
3696,8.221078,80.909911,317245.178,-1430,2401,3378654,3376706.182,7.884347,80.933012,-1374.639,2394
3697,8.206723,80.902535,317244.005,-1427,2400,3378655,3376706.997,7.828336,80.924417,-1370.474,2394
3698,8.192294,80.895109,317242.822,-1425,2400,3378656,3376707.818,7.825358,80.916455,-1372.686,2395
3699,8.177983,80.887733,317241.645,-1424,2400,3378657,3376708.634,7.814113,80.908941,-1373.738,2395
3700,8.163598,80.880306,317240.460,-1425,2400,3378657,3376709.456,7.813949,80.910455,-1373.571,2395
3701,8.149332,80.872928,317239.281,-1425,2400,3378658,3376710.273,7.809213,80.894091,-1378.045,2395
3702,8.134991,80.865501,317238.093,-1424,2400,3378659,3376711.097,7.813688,80.894317,-1378.354,2395
3703,8.120769,80.858122,317236.912,-1424,2400,3378659,3376711.915,7.763537,80.885448,-1376.335,2395
3704,8.106472,80.850693,317235.722,-1421,2399,3378660,3376712.740,7.855989,80.870809,-1389.623,2396
3705,8.092294,80.843313,317234.538,-1420,2399,3378660,3376713.560,7.861458,80.868904,-1390.945,2396
3706,8.078041,80.835883,317233.346,-1421,2399,3378662,3376714.387,7.861234,80.860810,-1395.065,2396
3707,8.063905,80.828503,317232.160,-1423,2399,3378662,3376715.208,7.838936,80.853827,-1398.396,2397
3708,8.049696,80.821072,317230.965,-1424,2399,3378663,3376716.036,7.927289,80.841479,-1408.323,2397
3709,8.035604,80.813690,317229.776,-1423,2400,3378664,3376716.859,7.948267,80.831345,-1413.451,2398
3710,8.021438,80.806258,317228.579,-1425,2400,3378665,3376717.688,7.936920,80.823783,-1417.626,2399
3711,8.007389,80.798875,317227.388,-1429,2400,3378665,3376718.512,7.906373,80.817204,-1420.471,2399
3712,7.993267,80.791442,317226.188,-1431,2401,3378665,3376719.343,7.908860,80.808976,-1423.500,2400
3713,7.979260,80.784058,317224.995,-1433,2401,3378667,3376720.168,7.815913,80.806469,-1422.557,2400
3714,7.965181,80.776624,317223.792,-1433,2401,3378667,3376721.000,7.908408,80.792836,-1430.191,2401
3715,7.951217,80.769240,317222.597,-1436,2402,3378667,3376721.827,7.861476,80.787052,-1431.837,2401
3716,7.937180,80.761804,317221.392,-1438,2402,3378669,3376722.661,7.852996,80.779355,-1433.698,2402
3717,7.923259,80.754419,317220.194,-1442,2403,3378670,3376723.489,7.774103,80.776175,-1432.943,2402
3718,7.909265,80.746983,317218.986,-1443,2403,3378670,3376724.324,7.849891,80.763348,-1439.158,2402
3719,7.895386,80.739596,317217.786,-1444,2403,3378671,3376725.154,7.762900,80.760564,-1437.248,2402
3720,7.881434,80.732159,317216.576,-1445,2403,3378672,3376725.990,7.767323,80.747978,-1440.216,2403
3721,7.867504,80.724721,317215.365,-1446,2403,3378673,3376726.827,7.748016,80.734403,-1442.075,2403
