satellite_position_km,nadir_apparent_depth_m,offnadir_apparent_depth_m,nadir_return_time_ms,offnadir_return_time_ms,nadir_return_time_us,offnadir_return_time_us,offnadir_extra_delay_us,offnadir_vhf_phase_deg
41.400,0.000000,1628.869635,2.681217551,2.700560185,2681.217551,2700.560185,19.342634,22.232994
41.600,0.000000,1640.313575,2.681340599,2.700819129,2681.340599,2700.819129,19.478530,22.230862
41.800,0.000000,1651.811036,2.681464240,2.701079301,2681.464240,2701.079301,19.615061,22.228721
42.000,0.000000,1663.361995,2.681588474,2.701340701,2681.588474,2701.340701,19.752227,22.226570
42.200,0.000000,1674.966430,2.681713301,2.701603330,2681.713301,2701.603330,19.890028,22.224409
42.400,0.000000,1686.624316,2.681838721,2.701867186,2681.838721,2701.867186,20.028464,22.222239
42.600,0.000000,1698.335632,2.681964734,2.702132269,2681.964734,2702.132269,20.167535,22.220059
42.800,0.000000,1710.100352,2.682091341,2.702398580,2682.091341,2702.398580,20.307240,22.217869
43.000,0.000000,1721.918454,2.682218540,2.702666118,2682.218540,2702.666118,20.447578,22.215669
43.200,0.000000,1733.789914,2.682346332,2.702934882,2682.346332,2702.934882,20.588550,22.213460
43.400,0.000000,1745.714709,2.682474717,2.703204873,2682.474717,2703.204873,20.730156,22.211242
43.600,0.000000,1757.692813,2.682603695,2.703476089,2682.603695,2703.476089,20.872394,22.209014
43.800,0.000000,1769.724205,2.682733266,2.703748532,2682.733266,2703.748532,21.015266,22.206776
44.000,0.000000,1781.808859,2.682863430,2.704022200,2682.863430,2704.022200,21.158770,22.204528
44.200,0.000000,1793.946751,2.682994187,2.704297093,2682.994187,2704.297093,21.302906,22.202271
44.400,0.000000,1806.137858,2.683125537,2.704573211,2683.125537,2704.573211,21.447674,22.200004
44.600,0.000000,1818.382154,2.683257481,2.704850554,2683.257481,2704.850554,21.593073,22.197728
44.800,0.000000,1830.679616,2.683390017,2.705129121,2683.390017,2705.129121,21.739104,22.195442
45.000,0.000000,1843.030219,2.683523146,2.705408912,2683.523146,2705.408912,21.885766,22.193147
45.200,0.000000,1855.433939,2.683656868,2.705689927,2683.656868,2705.689927,22.033059,22.190842
45.400,0.000000,1867.890750,2.683791183,2.705972165,2683.791183,2705.972165,22.180982,22.188527
45.600,0.000000,1880.400627,2.683926091,2.706255626,2683.926091,2706.255626,22.329535,22.186203
