position_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,hf_doppler_hz,vhf_doppler_hz,hf_abs_doppler_hz,vhf_abs_doppler_hz
-26.600,400.786178,-0.236444444,30.021236,199.941435,30.021236,199.941435
-26.400,400.774400,-0.234666667,29.796944,198.447647,29.796944,198.447647
-26.200,400.762711,-0.232888889,29.572619,196.953644,29.572619,196.953644
-26.000,400.751111,-0.231111111,29.348263,195.459430,29.348263,195.459430
-25.800,400.739600,-0.229333333,29.123874,193.965004,29.123874,193.965004
-25.600,400.728178,-0.227555556,28.899455,192.470369,28.899455,192.470369
-25.400,400.716844,-0.225777778,28.675004,190.975526,28.675004,190.975526
-25.200,400.705600,-0.224000000,28.450522,189.480477,28.450522,189.480477
-25.000,400.694444,-0.222222222,28.226009,187.985223,28.226009,187.985223
-24.800,400.683378,-0.220444444,28.001466,186.489766,28.001466,186.489766
-24.600,400.672400,-0.218666667,27.776893,184.994108,27.776893,184.994108
-24.400,400.661511,-0.216888889,27.552290,183.498249,27.552290,183.498249
-24.200,400.650711,-0.215111111,27.327657,182.002192,27.327657,182.002192
-24.000,400.640000,-0.213333333,27.102994,180.505939,27.102994,180.505939
-23.800,400.629378,-0.211555556,26.878302,179.009489,26.878302,179.009489
-23.600,400.618844,-0.209777778,26.653581,177.512847,26.653581,177.512847
-23.400,400.608400,-0.208000000,26.428831,176.016012,26.428831,176.016012
-23.200,400.598044,-0.206222222,26.204052,174.518986,26.204052,174.518986
-23.000,400.587778,-0.204444444,25.979245,173.021772,25.979245,173.021772
-22.800,400.577600,-0.202666667,25.754410,171.524370,25.754410,171.524370
-22.600,400.567511,-0.200888889,25.529547,170.026782,25.529547,170.026782
-22.400,400.557511,-0.199111111,25.304656,168.529010,25.304656,168.529010
-22.200,400.547600,-0.197333333,25.079738,167.031055,25.079738,167.031055
-22.000,400.537778,-0.195555556,24.854793,165.532920,24.854793,165.532920
-21.800,400.528044,-0.193777778,24.629820,164.034605,24.629820,164.034605
-21.600,400.518400,-0.192000000,24.404822,162.536111,24.404822,162.536111
-21.400,400.508844,-0.190222222,24.179796,161.037442,24.179796,161.037442
-21.200,400.499378,-0.188444444,23.954744,159.538598,23.954744,159.538598
-21.000,400.490000,-0.186666667,23.729667,158.039580,23.729667,158.039580
-20.800,400.480711,-0.184888889,23.504563,156.540392,23.504563,156.540392
-20.600,400.471511,-0.183111111,23.279434,155.041033,23.279434,155.041033
-20.400,400.462400,-0.181333333,23.054280,153.541506,23.054280,153.541506
-20.200,400.453378,-0.179555556,22.829101,152.041812,22.829101,152.041812
-20.000,400.444444,-0.177777778,22.603897,150.541952,22.603897,150.541952
-19.800,400.435600,-0.176000000,22.378668,149.041930,22.378668,149.041930
-19.600,400.426844,-0.174222222,22.153415,147.541745,22.153415,147.541745
-19.400,400.418178,-0.172444444,21.928138,146.041400,21.928138,146.041400
-19.200,400.409600,-0.170666667,21.702837,144.540896,21.702837,144.540896
-19.000,400.401111,-0.168888889,21.477513,143.040235,21.477513,143.040235
-18.800,400.392711,-0.167111111,21.252165,141.539418,21.252165,141.539418
-18.600,400.384400,-0.165333333,21.026794,140.038448,21.026794,140.038448
-18.400,400.376178,-0.163555556,20.801400,138.537325,20.801400,138.537325
-18.200,400.368044,-0.161777778,20.575984,137.036051,20.575984,137.036051
-18.000,400.360000,-0.160000000,20.350545,135.534628,20.350545,135.534628
-17.800,400.352044,-0.158222222,20.125084,134.033058,20.125084,134.033058
-17.600,400.344178,-0.156444444,19.899601,132.531341,19.899601,132.531341
-17.400,400.336400,-0.154666667,19.674096,131.029480,19.674096,131.029480
-17.200,400.328711,-0.152888889,19.448570,129.527477,19.448570,129.527477
-17.000,400.321111,-0.151111111,19.223023,128.025332,19.223023,128.025332
-16.800,400.313600,-0.149333333,18.997455,126.523048,18.997455,126.523048
-16.600,400.306178,-0.147555556,18.771866,125.020626,18.771866,125.020626
-16.400,400.298844,-0.145777778,18.546256,123.518068,18.546256,123.518068
-16.200,400.291600,-0.144000000,18.320627,122.015375,18.320627,122.015375
-16.000,400.284444,-0.142222222,18.094977,120.512550,18.094977,120.512550
-15.800,400.277378,-0.140444444,17.869308,119.009592,17.869308,119.009592
-15.600,400.270400,-0.138666667,17.643619,117.506505,17.643619,117.506505
-15.400,400.263511,-0.136888889,17.417911,116.003290,17.417911,116.003290
-15.200,400.256711,-0.135111111,17.192184,114.499948,17.192184,114.499948
-15.000,400.250000,-0.133333333,16.966439,112.996481,16.966439,112.996481
-14.800,400.243378,-0.131555556,16.740674,111.492891,16.740674,111.492891
-14.600,400.236844,-0.129777778,16.514892,109.989179,16.514892,109.989179
-14.400,400.230400,-0.128000000,16.289091,108.485348,16.289091,108.485348
-14.200,400.224044,-0.126222222,16.063273,106.981397,16.063273,106.981397
-14.000,400.217778,-0.124444444,15.837437,105.477330,15.837437,105.477330
-13.800,400.211600,-0.122666667,15.611584,103.973148,15.611584,103.973148
-13.600,400.205511,-0.120888889,15.385714,102.468852,15.385714,102.468852
-13.400,400.199511,-0.119111111,15.159826,100.964444,15.159826,100.964444
-13.200,400.193600,-0.117333333,14.933923,99.459926,14.933923,99.459926
-13.000,400.187778,-0.115555556,14.708003,97.955299,14.708003,97.955299
-12.800,400.182044,-0.113777778,14.482067,96.450565,14.482067,96.450565
-12.600,400.176400,-0.112000000,14.256115,94.945726,14.256115,94.945726
-12.400,400.170844,-0.110222222,14.030148,93.440783,14.030148,93.440783
-12.200,400.165378,-0.108444444,13.804165,91.935738,13.804165,91.935738
-12.000,400.160000,-0.106666667,13.578167,90.430592,13.578167,90.430592
-11.800,400.154711,-0.104888889,13.352154,88.925348,13.352154,88.925348
-11.600,400.149511,-0.103111111,13.126127,87.420006,13.126127,87.420006
-11.400,400.144400,-0.101333333,12.900085,85.914568,12.900085,85.914568
-11.200,400.139378,-0.099555556,12.674030,84.409037,12.674030,84.409037
-11.000,400.134444,-0.097777778,12.447960,82.903413,12.447960,82.903413
-10.800,400.129600,-0.096000000,12.221877,81.397698,12.221877,81.397698
-10.600,400.124844,-0.094222222,11.995780,79.891895,11.995780,79.891895
-10.400,400.120178,-0.092444444,11.769670,78.386004,11.769670,78.386004
-10.200,400.115600,-0.090666667,11.543548,76.880027,11.543548,76.880027
-10.000,400.111111,-0.088888889,11.317412,75.373966,11.317412,75.373966
-9.800,400.106711,-0.087111111,11.091265,73.867823,11.091265,73.867823
-9.600,400.102400,-0.085333333,10.865105,72.361598,10.865105,72.361598
-9.400,400.098178,-0.083555556,10.638933,70.855295,10.638933,70.855295
-9.200,400.094044,-0.081777778,10.412750,69.348913,10.412750,69.348913
-9.000,400.090000,-0.080000000,10.186555,67.842456,10.186555,67.842456
-8.800,400.086044,-0.078222222,9.960349,66.335925,9.960349,66.335925
-8.600,400.082178,-0.076444444,9.734132,64.829321,9.734132,64.829321
-8.400,400.078400,-0.074666667,9.507905,63.322646,9.507905,63.322646
-8.200,400.074711,-0.072888889,9.281667,61.815901,9.281667,61.815901
-8.000,400.071111,-0.071111111,9.055419,60.309089,9.055419,60.309089
-7.800,400.067600,-0.069333333,8.829161,58.802211,8.829161,58.802211
-7.600,400.064178,-0.067555556,8.602893,57.295268,8.602893,57.295268
-7.400,400.060844,-0.065777778,8.376616,55.788263,8.376616,55.788263
-7.200,400.057600,-0.064000000,8.150330,54.281196,8.150330,54.281196
-7.000,400.054444,-0.062222222,7.924035,52.774070,7.924035,52.774070
-6.800,400.051378,-0.060444444,7.697731,51.266886,7.697731,51.266886
-6.600,400.048400,-0.058666667,7.471418,49.759646,7.471418,49.759646
-6.400,400.045511,-0.056888889,7.245098,48.252351,7.245098,48.252351
-6.200,400.042711,-0.055111111,7.018769,46.745003,7.018769,46.745003
-6.000,400.040000,-0.053333333,6.792433,45.237605,6.792433,45.237605
-5.800,400.037378,-0.051555556,6.566090,43.730156,6.566090,43.730156
-5.600,400.034844,-0.049777778,6.339739,42.222660,6.339739,42.222660
-5.400,400.032400,-0.048000000,6.113381,40.715117,6.113381,40.715117
-5.200,400.030044,-0.046222222,5.887016,39.207530,5.887016,39.207530
-5.000,400.027778,-0.044444444,5.660646,37.699899,5.660646,37.699899
-4.800,400.025600,-0.042666667,5.434268,36.192228,5.434268,36.192228
-4.600,400.023511,-0.040888889,5.207885,34.684516,5.207885,34.684516
-4.400,400.021511,-0.039111111,4.981497,33.176767,4.981497,33.176767
-4.200,400.019600,-0.037333333,4.755102,31.668981,4.755102,31.668981
-4.000,400.017778,-0.035555556,4.528703,30.161160,4.528703,30.161160
-3.800,400.016044,-0.033777778,4.302298,28.653307,4.302298,28.653307
-3.600,400.014400,-0.032000000,4.075889,27.145422,4.075889,27.145422
-3.400,400.012844,-0.030222222,3.849475,25.637507,3.849475,25.637507
-3.200,400.011378,-0.028444444,3.623058,24.129564,3.623058,24.129564
-3.000,400.010000,-0.026666667,3.396636,22.621594,3.396636,22.621594
-2.800,400.008711,-0.024888889,3.170210,21.113600,3.170210,21.113600
-2.600,400.007511,-0.023111111,2.943781,19.605582,2.943781,19.605582
-2.400,400.006400,-0.021333333,2.717349,18.097543,2.717349,18.097543
-2.200,400.005378,-0.019555556,2.490914,16.589485,2.490914,16.589485
-2.000,400.004444,-0.017777778,2.264476,15.081408,2.264476,15.081408
-1.800,400.003600,-0.016000000,2.038035,13.573314,2.038035,13.573314
-1.600,400.002844,-0.014222222,1.811592,12.065205,1.811592,12.065205
-1.400,400.002178,-0.012444444,1.585148,10.557084,1.585148,10.557084
-1.200,400.001600,-0.010666667,1.358701,9.048950,1.358701,9.048950
-1.000,400.001111,-0.008888889,1.132253,7.540807,1.132253,7.540807
-0.800,400.000711,-0.007111111,0.905804,6.032656,0.905804,6.032656
-0.600,400.000400,-0.005333333,0.679354,4.524498,0.679354,4.524498
-0.400,400.000178,-0.003555556,0.452903,3.016334,0.452903,3.016334
-0.200,400.000044,-0.001777778,0.226452,1.508168,0.226452,1.508168
0.000,400.000000,0.000000000,-0.000000,-0.000000,0.000000,0.000000
0.200,400.000044,0.001777778,-0.226452,-1.508168,0.226452,1.508168
