x_km,scenario,frequency,frequency_mhz,frequency_role,surface_height_m,surface_slope_deg,upper_depth_m,lens_strength,lens_depth_m,ocean_depth_m,layer_count,ocean_echo_db,false_echo_db,false_depth_m,false_label,false_minus_ocean_db,ocean_margin_db,false_margin_db,inferred_depth_if_strongest_m,inferred_depth_error_m,classification
-58.0,non_salt_impurity_mix,VHF_60MHz,60.0,shallow/high-resolution sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,3,-82.30015382656318,-46.51285338215353,3113.3793923034455,top radiolytic/acid-rich dirty layer,35.787300444409645,-37.300153826563175,-1.51285338215353,3113.3793923034455,-11459.746225939292,weak/no deep detection
-58.0,complex_dirty_ice,HF_9MHz,9.0,deep sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,5,-40.14493102515659,-32.37363057661863,3113.3793923034455,base radiolytic/acid-rich dirty layer; top radiolytic/acid-rich dirty layer,7.771300448537957,4.855068974843412,12.62636942338137,3113.3793923034455,-11459.746225939292,clear ocean boundary
-58.0,complex_dirty_ice,VHF_60MHz,60.0,shallow/high-resolution sounding,120.06952906780961,0.2587278302284246,957.6515045223967,0.002934279637824933,5609.784099285287,14573.125618242737,5,-82.3072801159202,-46.51285338215353,3113.3793923034455,top radiolytic/acid-rich dirty layer,35.79442673376666,-37.30728011592019,-1.51285338215353,3113.3793923034455,-11459.746225939292,weak/no deep detection
-57.5,clean_ice_control,HF_9MHz,9.0,deep sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,0,-29.529617385420934,-999.0,,none,-969.4703826145791,15.470382614579066,-954.0,14578.335140524403,0.0,clear ocean boundary
-57.5,clean_ice_control,VHF_60MHz,60.0,shallow/high-resolution sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,0,-54.898658154943774,-999.0,,none,-944.1013418450563,-9.898658154943774,-954.0,14578.335140524403,0.0,weak/no deep detection
-57.5,salt_reference,HF_9MHz,9.0,deep sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,2,-32.44852441352582,-41.91123812525259,7289.1675702622015,base 1 m hydrated salt layer; top 1 m hydrated salt layer,-9.46271371172677,12.551475586474183,3.088761874747412,14578.335140524403,0.0,clear ocean boundary
-57.5,salt_reference,VHF_60MHz,60.0,shallow/high-resolution sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,2,-62.435243694262425,-49.292158285330096,7289.1675702622015,base 1 m hydrated salt layer; top 1 m hydrated salt layer,13.143085408932329,-17.435243694262425,-4.292158285330096,7289.1675702622015,-7289.1675702622015,weak/no deep detection
-57.5,mixed_dirty_thin_layers,HF_9MHz,9.0,deep sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,0,-35.3609514416307,-999.0,,none,-963.6390485583693,9.639048558369304,-954.0,14578.335140524403,0.0,clear ocean boundary
-57.5,mixed_dirty_thin_layers,VHF_60MHz,60.0,shallow/high-resolution sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,0,-69.95509794552547,-999.0,,none,-929.0449020544745,-24.955097945525466,-954.0,14578.335140524403,0.0,weak/no deep detection
-57.5,briny_lens_masking,HF_9MHz,9.0,deep sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,0,-35.3609514416307,-999.0,,none,-963.6390485583693,9.639048558369304,-954.0,14578.335140524403,0.0,clear ocean boundary
-57.5,briny_lens_masking,VHF_60MHz,60.0,shallow/high-resolution sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,0,-69.95509794552547,-999.0,,none,-929.0449020544745,-24.955097945525466,-954.0,14578.335140524403,0.0,weak/no deep detection
-57.5,non_salt_impurity_mix,HF_9MHz,9.0,deep sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,3,-40.19733613234638,-32.625656196154786,3104.9946330657394,base radiolytic/acid-rich dirty layer; top radiolytic/acid-rich dirty layer,7.571679936191593,4.802663867653621,12.374343803845214,3104.9946330657394,-11473.340507458663,clear ocean boundary
-57.5,non_salt_impurity_mix,VHF_60MHz,60.0,shallow/high-resolution sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,3,-82.44258952085504,-46.388642302850016,3104.9946330657394,top radiolytic/acid-rich dirty layer,36.05394721800502,-37.44258952085504,-1.388642302850016,3104.9946330657394,-11473.340507458663,weak/no deep detection
-57.5,complex_dirty_ice,HF_9MHz,9.0,deep sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,5,-40.200096132346374,-32.625656196154786,3104.9946330657394,base radiolytic/acid-rich dirty layer; top radiolytic/acid-rich dirty layer,7.574439936191588,4.799903867653626,12.374343803845214,3104.9946330657394,-11473.340507458663,clear ocean boundary
-57.5,complex_dirty_ice,VHF_60MHz,60.0,shallow/high-resolution sounding,138.90151425445745,0.9966465371333109,965.6506783941551,0.003473671086050251,5613.072139305129,14578.335140524403,5,-82.44971581021206,-46.388642302850016,3104.9946330657394,top radiolytic/acid-rich dirty layer,36.06107350736204,-37.449715810212055,-1.388642302850016,3104.9946330657394,-11473.340507458663,weak/no deep detection
-57.0,clean_ice_control,HF_9MHz,9.0,deep sounding,137.46604725484156,0.146350878007846,974.6127644014157,0.004101948007251427,5615.584619153291,14585.997030216358,0,-29.538045464082085,-999.0,,none,-969.4619545359179,15.461954535917915,-954.0,14585.997030216358,0.0,clear ocean boundary
-57.0,clean_ice_control,VHF_60MHz,60.0,shallow/high-resolution sounding,137.46604725484156,0.146350878007846,974.6127644014157,0.004101948007251427,5615.584619153291,14585.997030216358,0,-54.92041936047387,-999.0,,none,-944.0795806395262,-9.920419360473872,-954.0,14585.997030216358,0.0,weak/no deep detection
-57.0,salt_reference,HF_9MHz,9.0,deep sounding,137.46604725484156,0.146350878007846,974.6127644014157,0.004101948007251427,5615.584619153291,14585.997030216358,2,-32.45848487012536,-41.916218353563714,7292.998515108179,base 1 m hydrated salt layer; top 1 m hydrated salt layer,-9.457733483438354,12.54151512987464,3.083781646436286,14585.997030216358,0.0,clear ocean boundary
-57.0,salt_reference,VHF_60MHz,60.0,shallow/high-resolution sounding,137.46604725484156,0.146350878007846,974.6127644014157,0.004101948007251427,5615.584619153291,14585.997030216358,2,-62.460961482616185,-49.30501717949468,7292.998515108179,base 1 m hydrated salt layer; top 1 m hydrated salt layer,13.155944303121501,-17.460961482616185,-4.305017179494683,7292.998515108179,-7292.998515108179,weak/no deep detection
